id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id/id
bg_ncop_11127107,Началник на регионална дирекция за национален строителен контрол,11127107,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127108,Директор на Националния инспекторат по образованието,11127108,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11149001,Президент политическа партия,11149001,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149002,Председател политическа партия,11149002,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11146003,Ръководител местна организация политическа партия,11146003,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11146004,Ръководител контролен орган на партия,11146004,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11146005,Съветник политическа партия,11146005,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11146006,Главен експерт политическа партия,11146006,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11146007,Експерт политическа партия,11146007,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149008,Председател организация на работодатели,11149008,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149009,Ръководител контролен орган на организация на работодателите,11149009,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149010,Председател организация на работниците и служителите,11149010,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149011,Президент организация на работниците и служителите,11149011,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149012,Ръководител контролен орган на организация на работниците и служителите,11149012,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149013,Заместник-председател организация на работодатели,11149013,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149014,Вицепрезидент организация на работодатели,11149014,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11146015,Главен секретар организация,11146015,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149016,Председател браншови и регионални организации,11149016,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149017,Заместник-председател организация на работниците и служителите,11149017,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149018,Вицепрезидент организация на работниците и служителите,11149018,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149019,Изпълнителен директор оранизация на работниците и служителите,11149019,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149020,Главен директор организация на работниците и служителите,11149020,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149021,Директор организация на работниците и служителите,11149021,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11147022,Изпълнителен директор организации с нестопанска цел съсловни организации,11147022,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11147023,Директор организации с нестопанска цел съсловни организации,11147023,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149024,Председател организации с нестопанска цел съсловни организации,11149024,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149025,Заместник-председател организации с нестопанска цел съсловни организации,11149025,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149026,Генерален секретар организации с нестопанска цел съсловни организации,11149026,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149027,Секретар организации с нестопанска цел съсловни организации,11149027,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149028,Ръководител контролен орган на организации с нестопанска цел съсловни организации,11149028,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149029,Висш служител на друго регистрирано вероизповедание,11149029,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149030,Патриарх на Българската православна църква,11149030,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149031,Митрополит,11149031,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149032,Главен мюфтия,11149032,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149033,Епископ на Католическата църква в България,11149033,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11149034,Председател на Български олимпийски комитет,11149034,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11147035,Председател обществена организация,11147035,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11147036,Заместник-председател обществена организация,11147036,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11144037,Игумен на ставропигиален манастир,11144037,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11145038,Изпълнителен секретар организация на работниците и служителите,11145038,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11145039,Началник кабинет организация на работниците и служителите,11145039,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11145040,Парламентарен секретар организация на работниците и служителите,11145040,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11145042,Ръководител на Пресцентър организация на работниците и служителите,11145042,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11145043,Федерален секретар браншова организация на работниците и служителите,11145043,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11146044,Главен секретар на СВ. Синод,11146044,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11145045,"Национален секретар, организация на работниците и служителите",11145045,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1114
bg_ncop_11207001,Генерален директор,11207001,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207002,Изпълнителен директор,11207002,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11206003,Изпълнителен директор директор лечебно заведение за болнична помощ,11206003,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11206004,Ръководител кооперативно предприятие,11206004,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11206005,Директор организация,11206005,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11206006,Директор предприятие,11206006,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11206007,Директор вестник,11206007,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
