id,code,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name@en_US,name@bg_BG,l10n_bg_city_hall_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id
l10n_bg_city.40333,40333,40333,l10n_bg_city.village,Krastevich,Кръстевич,PDV37-03,cityhall,base.bg,4177,False,l10n_bg_city.S56784,l10n_bg_city.77270,
l10n_bg_city.40381,40381,40381,l10n_bg_city.village,Krastina,Кръстина,BGS08-04,cityhall,base.bg,8121,False,l10n_bg_city.S07079,l10n_bg_city.35883,
l10n_bg_city.40395,40395,40395,l10n_bg_city.village,Krashno,Кръшно,TGV35-54,cityhall,base.bg,7874,False,l10n_bg_city.S73626,l10n_bg_city.73626,
l10n_bg_city.40436,40436,40436,l10n_bg_city.village,Kubratovo,Кубратово,SOF46-40,cityhall,base.bg,1257,False,l10n_bg_city.S68134,l10n_bg_city.68134,
l10n_bg_city.40441,40441,40441,l10n_bg_city.village,Kudelin,Куделин,VID06-06,cityhall,base.bg,3798,False,l10n_bg_city.S10971,l10n_bg_city.06224,
l10n_bg_city.40453,40453,40453,l10n_bg_city.village,Kuzyovo,Кузьово,BLG02-07,cityhall,base.bg,2788,False,l10n_bg_city.S04279,l10n_bg_city.03504,
l10n_bg_city.40484,40484,40484,l10n_bg_city.village,Kukorevo,Кукорево,JAM25-22,cityhall,base.bg,8673,False,l10n_bg_city.S87374,l10n_bg_city.87374,
l10n_bg_city.40511,40511,40511,l10n_bg_city.village,Kukuryak,Кукуряк,KRZ14-21,cityhall,base.bg,6898,False,l10n_bg_city.S40909,l10n_bg_city.36926,
l10n_bg_city.40539,40539,40539,l10n_bg_city.village,Kulata,Кулата,BLG33-23,cityhall,base.bg,2868,False,l10n_bg_city.S04279,l10n_bg_city.56126,
l10n_bg_city.40573,40573,40573,l10n_bg_city.village,Kulina voda,Кулина вода,PVN03-03,cityhall,base.bg,5937,False,l10n_bg_city.S56722,l10n_bg_city.03366,
l10n_bg_city.40590,40590,40590,l10n_bg_city.village,Kumanovo,Куманово,VAR02-14,cityhall,base.bg,9192,False,l10n_bg_city.S10135,l10n_bg_city.00182,
l10n_bg_city.40628,40628,40628,l10n_bg_city.village,Kundevo,Кундево,SML18-09,cityhall,base.bg,4990,False,l10n_bg_city.S67653,l10n_bg_city.51319,
l10n_bg_city.40645,40645,40645,l10n_bg_city.village,Kunino,Кунино,VRC32-03,cityhall,base.bg,3140,False,l10n_bg_city.S12259,l10n_bg_city.62997,
l10n_bg_city.40662,40662,40662,l10n_bg_city.village,Kupen,Купен,SML16-09,cityhall,base.bg,4921,False,l10n_bg_city.S67653,l10n_bg_city.46045,
l10n_bg_city.40676,40676,40676,l10n_bg_city.village,Kuptsite,Купците,KRZ08-26,cityhall,base.bg,6839,False,l10n_bg_city.S40909,l10n_bg_city.20746,
l10n_bg_city.40693,40693,40693,l10n_bg_city.village,Kurnovo,Курново,VRC32-04,cityhall,base.bg,3138,False,l10n_bg_city.S12259,l10n_bg_city.62997,
l10n_bg_city.40703,40703,40703,l10n_bg_city.village,Kurtovo,Куртово,PDV13-31,cityhall,base.bg,4369,False,l10n_bg_city.S56784,l10n_bg_city.36498,
l10n_bg_city.40717,40717,40717,l10n_bg_city.village,Kurtovo Konare,Куртово Конаре,PDV41-02,cityhall,base.bg,4223,False,l10n_bg_city.S56784,l10n_bg_city.51980,
l10n_bg_city.40748,40748,40748,l10n_bg_city.village,Kutela,Кутела,SML31-15,cityhall,base.bg,4752,False,l10n_bg_city.S67653,l10n_bg_city.67653,
l10n_bg_city.41263,41263,41263,l10n_bg_city.village,Kutovo,Кутово,VID09-21,cityhall,base.bg,3737,False,l10n_bg_city.S10971,l10n_bg_city.10971,
l10n_bg_city.40782,40782,40782,l10n_bg_city.village,Kutsina,Куцина,VTR26-06,cityhall,base.bg,5189,False,l10n_bg_city.S10447,l10n_bg_city.57354,
l10n_bg_city.40823,40823,40823,l10n_bg_city.village,Kaklitsa,Къклица,KRZ15-22,cityhall,base.bg,6927,False,l10n_bg_city.S40909,l10n_bg_city.39970,
l10n_bg_city.40837,40837,40837,l10n_bg_city.village,Kakrina,Къкрина,LOV18-16,cityhall,base.bg,5544,False,l10n_bg_city.S43952,l10n_bg_city.43952,
l10n_bg_city.40868,40868,40868,l10n_bg_city.village,Kanchevo,Кънчево,SZR12-09,cityhall,base.bg,6164,False,l10n_bg_city.S68850,l10n_bg_city.35167,
l10n_bg_city.36107,36107,36107,l10n_bg_city.village,Kapinovo,Къпиново,VTR04-16,cityhall,base.bg,5043,False,l10n_bg_city.S10447,l10n_bg_city.10447,
l10n_bg_city.40885,40885,40885,l10n_bg_city.village,Kapinovo,Къпиново,DOB12-19,cityhall,base.bg,9528,False,l10n_bg_city.S72624,l10n_bg_city.14711,
l10n_bg_city.40899,40899,40899,l10n_bg_city.village,Kapinovtsi,Къпиновци,RAZ14-12,cityhall,base.bg,7434,False,l10n_bg_city.S61710,l10n_bg_city.32874,
l10n_bg_city.40912,40912,40912,l10n_bg_city.village,Karnalovo,Кърналово,BLG33-24,cityhall,base.bg,2860,False,l10n_bg_city.S04279,l10n_bg_city.56126,
l10n_bg_city.40939,40939,40939,l10n_bg_city.village,Karnare,Кърнаре,PDV13-16,cityhall,base.bg,4337,False,l10n_bg_city.S56784,l10n_bg_city.36498,
l10n_bg_city.40988,40988,40988,l10n_bg_city.village,Karchovsko,Кърчовско,KRZ14-22,cityhall,base.bg,6873,False,l10n_bg_city.S40909,l10n_bg_city.36926,
l10n_bg_city.41006,41006,41006,l10n_bg_city.village,Kasak,Късак,SML10-04,cityhall,base.bg,4832,False,l10n_bg_city.S67653,l10n_bg_city.23025,
l10n_bg_city.41010,41010,41010,l10n_bg_city.village,Katina,Кътина,SOF46-41,cityhall,base.bg,1276,False,l10n_bg_city.S68134,l10n_bg_city.68134,
l10n_bg_city.41037,41037,41037,l10n_bg_city.village,Kashin,Къшин,PVN24-12,cityhall,base.bg,5885,False,l10n_bg_city.S56722,l10n_bg_city.56722,
l10n_bg_city.41054,41054,41054,l10n_bg_city.village,Kyolmen,Кьолмен,SHU10-06,cityhall,base.bg,9888,False,l10n_bg_city.S83510,l10n_bg_city.12766,
l10n_bg_city.41085,41085,41085,l10n_bg_city.village,Kyosevo,Кьосево,KRZ16-17,cityhall,base.bg,6728,False,l10n_bg_city.S40909,l10n_bg_city.40909,
l10n_bg_city.41109,41109,41109,l10n_bg_city.village,Kyulevcha,Кюлевча,SHU19-05,cityhall,base.bg,9758,False,l10n_bg_city.S83510,l10n_bg_city.36587,
l10n_bg_city.43044,43044,43044,l10n_bg_city.village,Lazarovo,Лазарово,PVN39-03,cityhall,base.bg,3262,False,l10n_bg_city.S56722,l10n_bg_city.37376,
l10n_bg_city.14475,14475,14475,l10n_bg_city.village,Lakatnik,Лакатник,SFO43-09,cityhall,base.bg,2272,False,l10n_bg_city.S68134,l10n_bg_city.65869,
l10n_bg_city.43092,43092,43092,l10n_bg_city.village,Lakatnik,Лакатник,SFO43-20,cityhall,base.bg,2273,False,l10n_bg_city.S68134,l10n_bg_city.65869,
l10n_bg_city.43102,43102,43102,l10n_bg_city.village,Lale,Лале,KRZ21-13,cityhall,base.bg,6823,False,l10n_bg_city.S40909,l10n_bg_city.48996,
l10n_bg_city.43150,43150,43150,l10n_bg_city.village,Laskarevo,Ласкарево,BLG40-19,cityhall,base.bg,2811,False,l10n_bg_city.S04279,l10n_bg_city.65334,
l10n_bg_city.43178,43178,43178,l10n_bg_city.village,Lebed,Лебед,KRZ08-27,cityhall,base.bg,6859,False,l10n_bg_city.S40909,l10n_bg_city.20746,
l10n_bg_city.43181,43181,43181,l10n_bg_city.village,Lebnitsa,Лебница,BLG40-20,cityhall,base.bg,2866,False,l10n_bg_city.S04279,l10n_bg_city.65334,
l10n_bg_city.43205,43205,43205,l10n_bg_city.village,Levka,Левка,HKV28-04,cityhall,base.bg,6540,False,l10n_bg_city.S77195,l10n_bg_city.65677,
l10n_bg_city.43219,43219,43219,l10n_bg_city.village,Levochevo,Левочево,SML31-16,cityhall,base.bg,4743,False,l10n_bg_city.S67653,l10n_bg_city.67653,
l10n_bg_city.22681,22681,22681,l10n_bg_city.village,Levski,Левски,PAZ20-03,cityhall,base.bg,4535,False,l10n_bg_city.S55155,l10n_bg_city.55302,
l10n_bg_city.43222,43222,43222,l10n_bg_city.village,Levski,Левски,VAR26-04,cityhall,base.bg,9171,False,l10n_bg_city.S10135,l10n_bg_city.70175,
l10n_bg_city.43243,43243,43243,l10n_bg_city.village,Levunovo,Левуново,BLG40-21,cityhall,base.bg,2817,False,l10n_bg_city.S04279,l10n_bg_city.65334,
l10n_bg_city.44896,44896,44896,l10n_bg_city.village,Levtsi,Левци,KRZ02-33,cityhall,base.bg,6781,False,l10n_bg_city.S40909,l10n_bg_city.00607,
l10n_bg_city.43253,43253,43253,l10n_bg_city.village,Ledenik,Леденик,VTR04-18,cityhall,base.bg,5049,False,l10n_bg_city.S10447,l10n_bg_city.10447,
l10n_bg_city.43270,43270,43270,l10n_bg_city.village,Lenishte,Ленище,KRZ02-13,cityhall,base.bg,6783,False,l10n_bg_city.S40909,l10n_bg_city.00607,
l10n_bg_city.43284,43284,43284,l10n_bg_city.village,Lenkovo,Ленково,PVN08-08,cityhall,base.bg,5967,False,l10n_bg_city.S56722,l10n_bg_city.18099,
l10n_bg_city.43298,43298,43298,l10n_bg_city.village,Lenovo,Леново,PDV01-22,cityhall,base.bg,4261,False,l10n_bg_city.S56784,l10n_bg_city.00702,
l10n_bg_city.43311,43311,43311,l10n_bg_city.village,Lepitsa,Лепица,PVN37-06,cityhall,base.bg,5987,False,l10n_bg_city.S56722,l10n_bg_city.80501,
l10n_bg_city.43325,43325,43325,l10n_bg_city.village,Lesidren,Лесидрен,LOV36-06,cityhall,base.bg,5730,False,l10n_bg_city.S43952,l10n_bg_city.75054,
l10n_bg_city.43356,43356,43356,l10n_bg_city.village,Lesicheri,Лесичери,VTR22-10,cityhall,base.bg,5222,False,l10n_bg_city.S10447,l10n_bg_city.55052,
l10n_bg_city.43387,43387,43387,l10n_bg_city.village,Leska,Леска,SML16-23,cityhall,base.bg,4928,False,l10n_bg_city.S67653,l10n_bg_city.46045,
l10n_bg_city.43400,43400,43400,l10n_bg_city.village,Leskovets,Лесковец,VRC31-04,cityhall,base.bg,3341,False,l10n_bg_city.S12259,l10n_bg_city.54020,
l10n_bg_city.43428,43428,43428,l10n_bg_city.village,Leskovets,Лесковец,PER32-11,cityhall,base.bg,2342,False,l10n_bg_city.S55871,l10n_bg_city.55871,
l10n_bg_city.43445,43445,43445,l10n_bg_city.village,Lesnovo,Лесново,SFO17-09,cityhall,base.bg,2119,False,l10n_bg_city.S68134,l10n_bg_city.27303,
l10n_bg_city.43459,43459,43459,l10n_bg_city.village,Lesovo,Лесово,JAM07-11,cityhall,base.bg,8754,False,l10n_bg_city.S87374,l10n_bg_city.27382,
l10n_bg_city.43462,43462,43462,l10n_bg_city.village,Lesura,Лесура,VRC21-09,cityhall,base.bg,3073,False,l10n_bg_city.S12259,l10n_bg_city.39846,
l10n_bg_city.43517,43517,43517,l10n_bg_city.village,Lehchevo,Лехчево,MON04-07,cityhall,base.bg,3445,False,l10n_bg_city.S48489,l10n_bg_city.05236,
l10n_bg_city.43520,43520,43520,l10n_bg_city.village,Leshko,Лешко,BLG03-14,cityhall,base.bg,2749,False,l10n_bg_city.S04279,l10n_bg_city.04279,
