id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office
l10n_bg.04011,04011,l10n_bg_city.village,Бижовци,VTR04-00,normal,base.bg,,False
l10n_bg.04025,04025,l10n_bg_city.village,Бижовци,GAB35-00,normal,base.bg,,False
l10n_bg.04042,04042,l10n_bg_city.village,Билинци,PER08-00,normal,base.bg,,False
l10n_bg.04068,04068,l10n_bg_city.village,Билкини,GAB12-00,normal,base.bg,,False
l10n_bg.04090,04090,l10n_bg_city.village,Било,DOB17-00,normal,base.bg,,False
l10n_bg.04100,04100,l10n_bg_city.village,Билянска,SML31-00,normal,base.bg,,False
l10n_bg.04176,04176,l10n_bg_city.village,Бистрец,BGS06-00,normal,base.bg,,False
l10n_bg.04323,04323,l10n_bg_city.village,Блатец,KNL29-00,normal,base.bg,,False
l10n_bg.04340,04340,l10n_bg_city.village,Блатешница,PER19-00,normal,base.bg,,False
l10n_bg.04371,04371,l10n_bg_city.village,Блато,KNL04-00,normal,base.bg,,False
l10n_bg.04412,04412,l10n_bg_city.village,Близнак,BGS12-00,normal,base.bg,,False
l10n_bg.04443,04443,l10n_bg_city.village,Близнец,SLV24-00,normal,base.bg,,False
l10n_bg.04460,04460,l10n_bg_city.village,Блъсковци,VTR13-00,normal,base.bg,,False
l10n_bg.04474,04474,l10n_bg_city.village,Боазът,GAB29-00,normal,base.bg,,False
l10n_bg.04488,04488,l10n_bg_city.village,Бобевци,GAB05-00,normal,base.bg,,False
l10n_bg.04491,04491,l10n_bg_city.village,Бобешино,KNL29-00,normal,base.bg,,False
l10n_bg.04529,04529,l10n_bg_city.village,Бобораци,PER36-00,normal,base.bg,,False
l10n_bg.04546,04546,l10n_bg_city.village,Бов,SFO43-00,normal,base.bg,,False
l10n_bg.04604,04604,l10n_bg_city.village,Богданлия,SFO17-00,normal,base.bg,,False
l10n_bg.04621,04621,l10n_bg_city.village,Богданово,BGS06-00,normal,base.bg,,False
l10n_bg.04649,04649,l10n_bg_city.village,Богдановци,SFO20-00,normal,base.bg,,False
l10n_bg.04652,04652,l10n_bg_city.village,Богданско,VTR13-01,normal,base.bg,,False
l10n_bg.04683,04683,l10n_bg_city.village,Богданчовци,GAB05-00,normal,base.bg,,False
