id,code,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name@en_US,name@bg_BG,l10n_bg_city_hall_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id
l10n_bg_city.48249,48249,48249,l10n_bg_city.village,Milkyovtsi,Милкьовци,PER51-00,normal,base.bg,2475,False,l10n_bg_city.S55871,l10n_bg_city.73273,
l10n_bg_city.48252,48252,48252,l10n_bg_city.village,Miloslavtsi,Милославци,PER51-00,normal,base.bg,2478,False,l10n_bg_city.S55871,l10n_bg_city.73273,
l10n_bg_city.48266,48266,48266,l10n_bg_city.village,Milchina laka,Милчина лъка,VID15-00,normal,base.bg,3766,False,l10n_bg_city.S10971,l10n_bg_city.17645,
l10n_bg_city.48283,48283,48283,l10n_bg_city.village,Minevtsi,Миневци,VTR13-00,normal,base.bg,5083,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.48338,48338,48338,l10n_bg_city.village,Mirovets,Мировец,TGV35-00,normal,base.bg,7751,False,l10n_bg_city.S73626,l10n_bg_city.73626,
l10n_bg_city.48409,48409,48409,l10n_bg_city.village,Mirolyubovo,Миролюбово,BGS04-00,normal,base.bg,8521,False,l10n_bg_city.S07079,l10n_bg_city.07079,
l10n_bg_city.48430,48430,48430,l10n_bg_city.village,Mirchovtsi,Мирчовци,VTR13-00,normal,base.bg,5094,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.48475,48475,48475,l10n_bg_city.village,Mitrovtsi,Митровци,MON36-00,normal,base.bg,3464,False,l10n_bg_city.S48489,l10n_bg_city.81390,
l10n_bg_city.48516,48516,48516,l10n_bg_city.village,Mihaylovtsi,Михайловци,GAB05-00,normal,base.bg,5347,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.48533,48533,48533,l10n_bg_city.village,Mihalich,Михалич,HKV28-05,normal,base.bg,6537,False,l10n_bg_city.S77195,l10n_bg_city.65677,l10n_bg_city.65677
l10n_bg_city.48581,48581,48581,l10n_bg_city.village,Mihovtsi,Миховци,GAB35-00,normal,base.bg,5369,False,l10n_bg_city.S14218,l10n_bg_city.73403,
l10n_bg_city.48605,48605,48605,l10n_bg_city.village,Michkovtsi,Мичковци,GAB05-00,normal,base.bg,5343,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.48636,48636,48636,l10n_bg_city.village,Mishemorkov han,Мишеморков хан,VTR04-00,normal,base.bg,5035,False,l10n_bg_city.S10447,l10n_bg_city.10447,
l10n_bg_city.48667,48667,48667,l10n_bg_city.village,Mladezhko,Младежко,BGS12-07,normal,base.bg,8364,False,l10n_bg_city.S07079,l10n_bg_city.46663,l10n_bg_city.30483
l10n_bg_city.48742,48742,48742,l10n_bg_city.village,Mlechevo,Млечево,GAB29-00,normal,base.bg,5441,False,l10n_bg_city.S14218,l10n_bg_city.65927,
l10n_bg_city.48800,48800,48800,l10n_bg_city.village,Mogilite,Могилите,GAB35-00,normal,base.bg,5350,False,l10n_bg_city.S14218,l10n_bg_city.73403,
l10n_bg_city.48828,48828,48828,l10n_bg_city.village,Mogilishte,Могилище,DOB17-00,normal,base.bg,9665,False,l10n_bg_city.S72624,l10n_bg_city.35064,
l10n_bg_city.48831,48831,48831,l10n_bg_city.village,Mogilovo,Могилово,SZR36-00,normal,base.bg,6239,False,l10n_bg_city.S68850,l10n_bg_city.81414,
l10n_bg_city.48951,48951,48951,l10n_bg_city.village,Momin sbor,Момин сбор,VTR04-00,normal,base.bg,5067,False,l10n_bg_city.S10447,l10n_bg_city.10447,
l10n_bg_city.48917,48917,48917,l10n_bg_city.village,Momina salza,Момина сълза,KRZ21-07,normal,base.bg,6838,False,l10n_bg_city.S40909,l10n_bg_city.48996,l10n_bg_city.18126
l10n_bg_city.48934,48934,48934,l10n_bg_city.village,Momino,Момино,HKV34-19,normal,base.bg,6387,False,l10n_bg_city.S77195,l10n_bg_city.77195,l10n_bg_city.39863
l10n_bg_city.49062,49062,49062,l10n_bg_city.village,Morovetsite,Моровеците,GAB05-00,normal,base.bg,5300,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.49151,49151,49151,l10n_bg_city.village,Mostovo,Мостово,PDV01-00,normal,base.bg,4257,False,l10n_bg_city.S56784,l10n_bg_city.00702,
l10n_bg_city.49165,49165,49165,l10n_bg_city.village,Mochure,Мочуре,SML27-00,normal,base.bg,4978,False,l10n_bg_city.S67653,l10n_bg_city.63207,
l10n_bg_city.49179,49179,49179,l10n_bg_city.village,Moshtanets,Мощанец,BLG03-00,normal,base.bg,2729,False,l10n_bg_city.S04279,l10n_bg_city.04279,
l10n_bg_city.49182,49182,49182,l10n_bg_city.village,Mraketintsi,Мракетинци,PER51-00,normal,base.bg,2477,False,l10n_bg_city.S55871,l10n_bg_city.73273,
l10n_bg_city.49196,49196,49196,l10n_bg_city.village,Mramor,Мрамор,PER51-00,normal,base.bg,2487,False,l10n_bg_city.S55871,l10n_bg_city.73273,
l10n_bg_city.49237,49237,49237,l10n_bg_city.village,Mrahori,Мрахори,GAB05-23,normal,base.bg,5345,False,l10n_bg_city.S14218,l10n_bg_city.14218,l10n_bg_city.57675
