id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.62205,62205,l10n_bg_city.village,Rani lug,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
l10n_bg.62245,62245,l10n_bg_city.village,Rahovtsi,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.62253,62253,l10n_bg_city.village,Rachevtsi,GAB05-23,l10n_bg.S14218,l10n_bg.14218,l10n_bg.57675,normal,base.bg
l10n_bg.62267,62267,l10n_bg_city.village,Rachovtsi,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.62270,62270,l10n_bg_city.village,Rashevtsi,VTR04-09,l10n_bg.S10447,l10n_bg.10447,l10n_bg.12098,normal,base.bg
l10n_bg.62298,62298,l10n_bg_city.village,Rashkovo,SFO07-00,l10n_bg.S68134,l10n_bg.05815,,normal,base.bg
l10n_bg.62308,62308,l10n_bg_city.village,Rashovite,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.62311,62311,l10n_bg_city.village,Rashovitsa,MON02-07,l10n_bg.S48489,l10n_bg.03928,l10n_bg.30301,normal,base.bg
l10n_bg.62325,62325,l10n_bg_city.village,Rayuvtsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.62339,62339,l10n_bg_city.village,Rayanovtsi,VID01-00,l10n_bg.S10971,l10n_bg.03616,,normal,base.bg
l10n_bg.62342,62342,l10n_bg_city.village,Rayanovtsi,SFO16-00,l10n_bg.S68134,l10n_bg.23409,,normal,base.bg
l10n_bg.62356,62356,l10n_bg_city.village,Rayantsi,PER19-00,l10n_bg.S55871,l10n_bg.30778,,normal,base.bg
l10n_bg.62360,62360,l10n_bg_city.village,Rebrevtsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.62373,62373,l10n_bg_city.village,Rebro,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.62400,62400,l10n_bg_city.village,Redeshkovtsi,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.62414,62414,l10n_bg_city.village,Redina,SFO43-00,l10n_bg.S68134,l10n_bg.65869,,normal,base.bg
l10n_bg.17796,17796,l10n_bg_city.village,Rezhantsi,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.62428,62428,l10n_bg_city.village,Rezhintsi,KNL29-00,l10n_bg.S41112,l10n_bg.41112,,normal,base.bg
l10n_bg.62459,62459,l10n_bg_city.village,Rezovo,BGS13-00,l10n_bg.S07079,l10n_bg.48619,,normal,base.bg
l10n_bg.62476,62476,l10n_bg_city.village,Rekichka,VTR14-10,l10n_bg.S10447,l10n_bg.30962,l10n_bg.68494,normal,base.bg
l10n_bg.62534,62534,l10n_bg_city.village,Rechani,SML31-01,l10n_bg.S67653,l10n_bg.67653,l10n_bg.00597,normal,base.bg
l10n_bg.62565,62565,l10n_bg_city.village,Reyanovtsi,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
l10n_bg.62606,62606,l10n_bg_city.village,Riben dol,SML02-00,l10n_bg.S67653,l10n_bg.44402,,normal,base.bg
l10n_bg.62668,62668,l10n_bg_city.village,Ridovo,KRZ16-09,l10n_bg.S40909,l10n_bg.40909,l10n_bg.24462,normal,base.bg
l10n_bg.62685,62685,l10n_bg_city.monastery,Rilski manastir,KNL38-00,l10n_bg.S41112,l10n_bg.62671,,normal,base.bg
l10n_bg.62712,62712,l10n_bg_city.village,Risimanovo,SZR27-00,l10n_bg.S68850,l10n_bg.61460,,normal,base.bg
l10n_bg.62726,62726,l10n_bg_city.village,Ritya,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.62791,62791,l10n_bg_city.village,Roglets,VID33-06,l10n_bg.S10971,l10n_bg.63255,l10n_bg.03678,normal,base.bg
l10n_bg.62894,62894,l10n_bg_city.village,Rodopsko,KRZ02-01,l10n_bg.S40909,l10n_bg.00607,l10n_bg.00864,normal,base.bg
l10n_bg.63714,63714,l10n_bg_city.village,Rozhdensko,KRZ08-08,l10n_bg.S40909,l10n_bg.20746,l10n_bg.38371,normal,base.bg
l10n_bg.62918,62918,l10n_bg_city.village,Rozhen,BLG40-00,l10n_bg.S04279,l10n_bg.65334,,normal,base.bg
l10n_bg.63001,63001,l10n_bg_city.village,Ropot,SFO09-00,l10n_bg.S68134,l10n_bg.15309,,normal,base.bg
