id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.02169,02169,l10n_bg_city.village,Бадевци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.02172,02172,l10n_bg_city.village,Бадино,KNL05-00,l10n_bg.S41112,l10n_bg.04532,,normal,base.bg
l10n_bg.02191,02191,l10n_bg_city.village,Баевци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.02207,02207,l10n_bg_city.village,Баевци,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.02213,02213,l10n_bg_city.village,Баждари,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.02230,02230,l10n_bg_city.village,Байкалско,PER36-00,l10n_bg.S55871,l10n_bg.61577,,normal,base.bg
l10n_bg.02289,02289,l10n_bg_city.village,Бакьово,SFO43-00,l10n_bg.S68134,l10n_bg.65869,,normal,base.bg
l10n_bg.02302,02302,l10n_bg_city.village,Балабанско,LOV34-00,l10n_bg.S43952,l10n_bg.73198,,normal,base.bg
l10n_bg.02333,02333,l10n_bg_city.village,Балалея,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.02347,02347,l10n_bg_city.village,Баланите,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.02378,02378,l10n_bg_city.village,Балванците,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.02419,02419,l10n_bg_city.village,Балиновци,GAB05-09,l10n_bg.S14218,l10n_bg.14218,l10n_bg.22959,normal,base.bg
l10n_bg.02453,02453,l10n_bg_city.village,Балкан махала,PDV15-00,l10n_bg.S56784,l10n_bg.44478,,normal,base.bg
l10n_bg.02484,02484,l10n_bg_city.village,Балканци,DOB12-00,l10n_bg.S72624,l10n_bg.14711,,normal,base.bg
l10n_bg.02498,02498,l10n_bg_city.village,Балуци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.02539,02539,l10n_bg_city.village,Бальовци,SFO20-06,l10n_bg.S68134,l10n_bg.32901,l10n_bg.10029,normal,base.bg
l10n_bg.02542,02542,l10n_bg_city.village,Балювица,MON02-00,l10n_bg.S48489,l10n_bg.03928,,normal,base.bg
l10n_bg.02556,02556,l10n_bg_city.village,Банари,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.02563,02563,l10n_bg_city.village,Бангейци,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.02614,02614,l10n_bg_city.village,Банище,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.02628,02628,l10n_bg_city.village,Банковец,TGV02-00,l10n_bg.S73626,l10n_bg.00518,,normal,base.bg
l10n_bg.02631,02631,l10n_bg_city.village,Банковци,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.02645,02645,l10n_bg_city.village,Банкя,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
