code,name,category,description
-103006,ERR_PLUDB_NAMES_NOT_UNIQUE,PLU DATABASE,PLU database error: PLU name is not unique.
-103007,ERR_PLUDB_FORMAT_INCOMPATIBLE,PLU DATABASE,PLU database error: Database format is not compatible.
-103008,ERR_PLUDB_CAN_NOT_OPEN,PLU DATABASE,Can't open the PLU database file
-104000,ERR_NEED_Z_REPORT,SERVICE OPERATIONS,Service operation error: Z report is needed for this operation
-104001,ERR_NEED_SERVICE_JUMPER,SERVICE OPERATIONS,Service operation error: Service jumper is needed for this operation
-104002,ERR_NEED_SERVICE_PASSWORD,SERVICE OPERATIONS,Service operation error: Service password is needed for this operation
-104003,ERR_FORBIDEN,SERVICE OPERATIONS,Service operation error: The operation is forbidden
-104004,ERR_NEED_SERVICE_INTERVENTION,SERVICE OPERATIONS,Service operation error: Service intervention is needed
-104005,ERR_NEED_ALL_CLEARING_REPORTS,SERVICE OPERATIONS,Service operation error: All clearing report is needed.
-104006,ERR_Z_REPORT_CLOSED,SERVICE OPERATIONS,Service operation error: Z report closed.
-104007,ERR_NEED_MONTH_REPORT,SERVICE OPERATIONS,Service operation error: Montly report needed.
-104008,ERR_NEED_YEAR_REPORT,SERVICE OPERATIONS,Service operation error: Year report needed.
-104009,ERR_NEED_BACKUP,SERVICE OPERATIONS,Service operation error: Backup needed.
-104010,ERR_NEED_ALL_PAIDOUT,SERVICE OPERATIONS,ERR_NEED_ALL_PAIDOUT
-104011,ERR_NEED_OPERATOR_Z_REPORT,SERVICE OPERATIONS,Clearing report for operator is needed.
-104012,ERR_NEED_GROUP_Z_REPORT,SERVICE OPERATIONS,Clearing report for item group is needed.
-104013,ERR_NEED_VAT_CHANGES,SERVICE OPERATIONS,VAT changes is needed.
-105000,ERR_EJ_NO_RECORDS,EJ - ERRORS,EJ error: No records in EJ
-105001,ERR_CANNOT_ADD_TO_EJ,EJ - ERRORS,EJ error: Cannot add to EJ
-105002,ERR_EJ_WRONG_MAC_RECORD,EJ - ERRORS,EJ error: SAM module signature error
-105003,ERR_EJ_IMMPOSSIBLE_TO_CHK_MAC_RECORD,EJ - ERRORS,EJ error: Signature key version is changed -> impossible check
-105004,ERR_EJ_BAD_RECORDS,EJ - ERRORS,EJ error: Bad record in EJ
-105005,ERR_EJ_CAN_NOT_GENERATE_MAC,EJ - ERRORS,EJ error: Generate signature error( cannoct generate signature )
-105006,ERR_EJ_WRONG_TYPE_TO_SIGN,EJ - ERRORS,EJ error: Wrong type of document to sign
-105007,ERR_EJ_ALREADY_SIGNED,EJ - ERRORS,EJ error: Document is already signed
-105008,ERR_EJ_NOT_FROM_THIS_DEVICE,EJ - ERRORS,EJ error: EJ is not from this device
-105009,ERR_EJ_NEAR_FULL,EJ - ERRORS,EJ error: EJ is almost full
-105010,ERR_EJ_FULL,EJ - ERRORS,EJ error: EJ is full
-105011,ERR_EJ_WRONG_FORMAT,EJ - ERRORS,EJ error: Wrong format of EJ
-105012,ERR_EJ_NOT_READY,EJ - ERRORS,The electronic journal is not ready.
-105013,ERR_EJ_NEED_NEW,EJ - ERRORS,Error in EJ structure. Create new one.
-105014,ERR_EJ_CANNOT_CREATE,EJ - ERRORS,Cannot create file
-105015,ERR_EJ_CANNOT_VERIFY,EJ - ERRORS,Cannot verify data in EJ
-105016,ERR_EJ_CANNOT_OPEN,EJ - ERRORS,Cannot open a file
-105017,ERR_EJ_CANNOT_CLOSE,EJ - ERRORS,Cannot close file
-105018,ERR_EJ_CANNOT_READ,EJ - ERRORS,Cannot read data from a file
-105019,ERR_EJ_CANNOT_WRITE,EJ - ERRORS,Cannot write data in file
-106000,ERR_R_FIRM_NOTEXIST,CLIENTS DATABASE ERRORS,Client database error: Firm does not exist
-106001,ERR_FIRMDB_FIRMCODE_EXISTS,CLIENTS DATABASE ERRORS,Client database error: Firmcode already exists
-106002,ERR_FIRMDB_EIK_EXISTS,CLIENTS DATABASE ERRORS,Client database error: EIK already exists
-106003,ERR_FIRMDB_FULL,CLIENTS DATABASE ERRORS,Client database error: Firm database is full
-106004,ERR_FIRMDB_NOT_FOUND,CLIENTS DATABASE ERRORS,Client database error: Firm database is not found
-110100,ERR_DEVICE_COMM_ERROR,EXT FISCAL DEVICE ERRORS,Device error: Communication error
-110101,ERR_DEVICE_WRONG_STRUCT,EXT FISCAL DEVICE ERRORS,Device error: Wrong struct format
-110102,ERR_DEVICE_STFLAG_ACTIVE,EXT FISCAL DEVICE ERRORS,Device error: ST flag is active
-110103,ERR_DEVICE_INVALID_DATA,EXT FISCAL DEVICE ERRORS,Device error: Invalid data
-110104,ERR_DEVICE_NOT_FISCALIZED,EXT FISCAL DEVICE ERRORS,Device error: Device is not fiscalized
-110105,ERR_DEVICE_ALREADY_FISCALIZED,EXT FISCAL DEVICE ERRORS,Device error: Device is already fiscalized
-110106,ERR_DEVICE_IN_SERVICE_MODE,EXT FISCAL DEVICE ERRORS,Device error: Device is in service mode
-110107,ERR_DEVICE_PASSED_SERVICE_DATE,EXT FISCAL DEVICE ERRORS,Device error: Service date is passed
-110108,ERR_DEVICE_DAY_IS_OPEN,EXT FISCAL DEVICE ERRORS,Device error: Day( shift ) is open
-110109,ERR_DEVICE_DAY_IS_CLOSED,EXT FISCAL DEVICE ERRORS,Device error: Day( shift ) is closed
-110110,ERR_DEVICE_WRONG_NUMBERS,EXT FISCAL DEVICE ERRORS,Device error: Z-report number and shift number are not equal
-110111,ERR_DEVICE_ADMIN_ONLY,EXT FISCAL DEVICE ERRORS,Device error: Only admin has permition
-110112,ERR_DEVICE_UNFISCALIZED,EXT FISCAL DEVICE ERRORS,Device error: Fiscal memory is closed
-110200,ERR_NAP_OPEN_SESSION,NAP SERVER ERRORS,NAP server error: Error open session
-110201,ERR_NAP_PREPARE_DATA,NAP SERVER ERRORS,NAP server error: Error preparing data for server
-110202,ERR_NAP_SEND_DATA,NAP SERVER ERRORS,NAP server error: There is unsent data
-110203,ERR_NAP_RECV_DATA,NAP SERVER ERRORS,NAP server error: Receiving data error
-110204,ERR_NAP_EMPTY_DATA,NAP SERVER ERRORS,NAP server error: Empty data
-110205,ERR_NAP_NEGATIVE_ANSWER,NAP SERVER ERRORS,NAP server error: Server negative answer
-110206,ERR_NAP_WRONG_ANSWER_FORMAT,NAP SERVER ERRORS,NAP server error: Wrong answer format
-110207,ERR_NAP_HOSTDI_ZERRO,NAP SERVER ERRORS,NAP server error: Server HOSTDI is zerro
-110208,ERR_NAP_EXCEPTION,NAP SERVER ERRORS,NAP server error: Server exception
-110209,ERR_NAP_NOTPERSONALIZED,NAP SERVER ERRORS,NAP server error: Not registered on server
-110210,ERR_NAP_BLOCKED_72H,NAP SERVER ERRORS,NAP server error: Communication with NAP server is blocked
-110211,ERR_NAP_BLOCKED_NO_MODEM_LAN,NAP SERVER ERRORS,NAP server error: Modem error
-110212,ERR_NAP_BUSY,NAP SERVER ERRORS,NAP server error: NAP is busy
-110213,ERR_NAP_REGISTERED,NAP SERVER ERRORS,NAP server error: Already registered
