Код;Наименование
35213010;Звукотехник
35213011;Киномеханик
35213012;Оператор, анимационен филм
35213013;Оператор, пулт за художествено осветление
35213014;Оператор, аудиосъоръжения
35213015;Оператор, дублиращи съоръжения
35213016;Оператор, електронна аудио-визуална техника
35213017;Оператор, записващи устройства
35213018;Оператор, камера
35213019;Кинематограф
35213020;Оператор, камера (телевизия)
35213021;Оператор, микрофон
35213022;Оператор, студийно устройство
35213023;Оператор субтитри
35213024;Оператор, радиотехника и телевизия
35213025;Първи асистент, оператор
35213026;Втори асистент, оператор
35213027;Режисьор пулт, аудиовизия
35213028;Техник, операторска техника
35213029;Техник, снимачна техника
35213030;Техник, звукови ефекти
35213031;Техник, звук-студио
35213032;Техник, звук-тест
35213033;Техник, копирна и проявителна техника във филмова лаборатория
35213034;Техник, цветни анализатори във филмова лаборатория
35213035;Тоноператор
35213036;Тонтехник
35213037;Видеомонтажист
35213038;Първи асистент, звукорежисьор
35213039;Специалист, звукови ефекти
35213040;Сенситометрист
35213041;Асистент продукция, телевизия
35213042;Организатор производство, телевизия
35223001;Техник, нискочестотна техника
35223002;Техник, полупроводникова техника
35223003;Техник, радиотехника и телевизионна техника
35223004;Техник, релейна защита и автоматика
35223005;Техник, спътникова техника
35223006;Техник, съобщителна техника
35223007;Техник, телекомуникации
35223008;Техник, радиовръзки в метрополитен
35223009;Техник-механик, АРС на подвижния състав на метрополитен
35223010;Оператор, морзов код (радист), радиотелеграфист
35223011;Оператор, радиопредавателни съоръжения
35223012;Оператор, конструиране и технология на съобщителна апаратура
35223013;Оператор, радиосъоръжения (кораби)
35223014;Оператор, радиосъоръжения (летателни средства)
35223015;Оператор, радиосъоръжения (наземни)
35223016;Оператор, стая с контролни съоръжения
35223017;Оператор, строителство и експлоатация на съобщителни системи
35223018;Оператор, съоръжения за пренос
35223019;Оператор, телеграфически съоръжения
35223020;Оператор, телекомуникационни съоръжения
35223021;Радиоелектроник за Световната морска система за бедствие и безопасност
35223022;Радиооператор за Световната морска система за бедствие и безопасност
35223023;Криптограф
35223024;Главен телеграфист на кораб, радио
35223025;Авиодиспечер, аеронавигационни съобщения
41102001;Завеждащ, административна служба
41102002;Завеждащ, техническа служба
41102003;Архивист (офис)
41103004;Главен технически сътрудник
41102005;Технически сътрудник 
41102006;Технически изпълнител 
41102007;Технически организатор 
41103008;Организатор, обработка на производствена информация
41103009;Завеждащ регистратура за некласифицирана информация
41103010;Завеждащ регистратура за криптографски средства и материали
41103011;Сътрудник, индустриални отношения
41202001;Секретар
41202002;Секретар, машинописец
41202003;Секретар, стенограф
41202004;Секретар, стенография и машинопис
41202005;Секретар, стилист
41202006;Технически секретар
41203007;Артистичен секретар
41312001;Машинописец
41312002;Машинописец, стенографска машина
41312003;Стенограф
41312004;Оператор, копирна техника
41312005;Оператор, телеграф
41312006;Оператор, телекс
41312007;Оператор, телепринтер
41312008;Оператор, телетайпен апарат
41312009;Оператор, телефакс
41321001;Оператор, въвеждане на данни
41323002;Банков служител, въвеждане на данни
42115001;Старши банков служител, връзка с клиенти
42115002;Старши банков служител, обслужване на клиенти
42115003;Старши банков служител, касов център
42113004;Старши банков служител, главен касиер
42113005;Банков служител, пазител ценности
42115006;Банков служител, касов център/ Служител в касов център, финансова/платежна институция
42115007;Банков служител, обслужване на клиенти/ Служител, обслужване на клиенти във финансова/платежна институция
42113008;Банков служител, касиер/Касиер, банка/Касиер, финансова/платежна институция
42113009;Банков служител, главен касиер
42113010;Главен касиер, банка/финансова/платежна институция
42113011;Инкасатор, банка/финансова/платежна институция
42111012;Служител, гише в пощенска станция
42111013;Касиер, гише в съобщенията
42111014;Касиер, обменно гише
42111015;Сараф
42113016;Администратор, корпоративен център, банка/финансова/платежна институция
42113017;Банков служител/ Служител, финансова/платежна институция
42113018;Пазител ценности, БНБ
42123001;Главен инспектор, игра в казино
42123002;Инспектор, игра в казино
42121003;Касиер-приемчик, тотализатор
42121004;Събирач, жетони
42121005;Събирач, облози
42121006;Букмейкър
42123007;Контрольор, казино
42123008;Крупие
42123009;Отговорник, маса в бинго зала
42132001;Комисионер, заложна къща
42132002;Лихвар
42141001;Инкасатор, събирач на данъци и такси
42142002;Инкасатор, дългови задължения
42142003;Инкасатор, наеми
42142004;Инкасатор, плащания
42142005;Събирач, дарения
42142006;Агент събиране на вземания
42213001;Консултант, пътнически транспорт
42213002;Организатор, пътнически транспорт
42213003;Организатор, пътувания
42215004;Специалист, туризъм
42212005;Служител, издаване на пътнически билети
42212006;Служител, информация за пътувания
42212007;Служител, пътническа агенция/бюро
42212008;Служител, резервации
42212009;Служител, гише за регистрация на пътници и багажи
42213010;Туристически агент
42223001;Оператор, център за обаждания
42223002;Оператор, контактен център 
42223003;Оператор, център за телекомуникационни услуги
42223004;Специалист, телефон на зрителя
42223005;Информатор, пътническо обслужване
42232001;Оператор, телефонна централа
42232002;Телефонист
42242001;Рецепционист, хотел
42243002;Администратор, хотел
42251001;Служител, запитвания
42251002;Служител, информация 
42262001;Рецепционист, приемна на лекар по дентална медицина
42262002;Рецепционист, приемна на лекар
42262003;Рецепционист
42270001;Анкетьор, маркетингови изследвания
42270002;Анкетьор
42292001;Информатор, приемна
42292002;Информатор/културна организация/културен   институт 
42292003;Информатор
43112001;Калкулант
43112002;Касиер, домакин
43112003;Касиер, счетоводство
43112004;Отчетник, счетоводство
43112005;Фактурист
43113006;Специалист, контрол разходи
43113007;Специалист, контрол приходи
43122001;Отчетник, гаранции по кредити
43122002;Отчетник, данъци
43122003;Отчетник, инвестиции
43122004;Отчетник, ипотеки
43122005;Отчетник, комисиони
43122006;Отчетник, кредити
43122007;Отчетник, облигации
43122008;Отчетник, оценки на рискове и застраховки
43122009;Отчетник, статистически документи
43122010;Отчетник, уреждане на застрахователни полици
43122011;Отчетник, финанси
43122012;Отчетник, ценни книжа
43122013;Отчетник, водещ документи за оценки
43122014;Отчетник, водещ ревизионни документи
43123015;Помощник, брокер
43132001;Отчетник, начисляване на трудови възнаграждения
43132002;Отчетник, водещ платежни ведомости
43133003;Специалист, труд и работна заплата
43212001;Вагоноописвач
43212002;Експедитор, стоки и товари
43212003;Железопътен посредник
43212004;Завеждащ морска регистрация
43212005;Измерител, горивни и строителни материали
43212006;Кантарджия
43212007;Контрольор, запаси
43212008;Магазинер
43212009;Оператор, определяне на маршрута на товарите
43212010;Организатор, експедиция/товаро-разтоварна и спедиторска дейност
43212011;Отчетник, насочване на товари
43212012;Получател, товари
43212013;Ръководител, търговска експлоатация
43212014;Склададжия
43212015;Снабдител, доставчик
43212016;Спедиционен посредник
43212017;Стифадор
43212018;Стоковед
43212019;Талиман
43212020;Тарифьор
43212021;Началник, склад
43213022;Домакин
43213023;Домакин, склад
43213024;Специалист, контрол на документи
43222001;Отчетник, инвентаризация на материали (инвентарчик)
43222002;Отчетник, планиране на материали
43233001;Началник машинотракторен парк
43233002;Началник парк, железници
43235003;Началник парк в метрополитен
43235004;Оператор, наземно обслужване
43235005;Влаков диспечер
43232006;Отчетник, изготвяне на наряди в гараж
43232007;Диспечер, транспортни средства
43233010;Инспектор, железопътна транспортна служба
43233011;Инспектор, транспортна служба
43233012;Контрольор, автомобилен транспорт
43233013;Контрольор, влакове
43233014;Контрольор, самолети
43233015;Контрольор, служба за въздушни превози и услуги
43233016;Контрольор, товаро-разтоварна дейност
43235017;Организатор, автомобилен транспорт
43233018;Началник парк, автомобили
44113001;Картотекар
44113002;Нототекар
44113003;Работник, библиотека
44113004;Филмотекар
44113005;Фондохранител, музей/художествена галерия
44113006;Фонотекар
44113007;Фототекар
44113008;Видеотекар
44123001;Експедитор, поща
44123002;Контрольор, поща
44123003;Контрольор, пощенска служба
44123004;Контрольор, пощенски склад
44123005;Пощенски раздавач (пощальон)
44123006;Превозвач, поща
44123007;Сортировач, поща
44132001;Описвач, тотализатор
44132002;Проверител, тотализатор
44132003;Проверител, марки и ценни книжа
44132004;Шифровчик
44136005;Коректор
44133006;Помощник-коректор
44133007;Уредник, програма
44153001;Завеждащ архивохранилище (книгохранилище)
44153002;Архивар
44152003;Деловодител
44152004;Книговодител
44152005;Регистратор
44162001;Асистент, човешки ресурси
44162002;Служител, човешки ресурси
44193001;Служител, рекламна агенция
44193002;Служител, публикации
44192003;Издирвач на адреси
44192004;Призовкар
44192005;Съдебен документатор
44193006;Завеждащ регистратура за класифицирана информация
44193007;Отговорник, спомагателни дейности
44193008;Завеждащ, секретна картотека 
44193009;Изпълнител
44193010;Координатор, дейности
44193011;Отчетник
44193012;Инспектор, салон
51113001;Борден съпроводител
51113002;Главен стюард/стюардеса
51113003;Обслужващ, аерогара
51113004;Обслужващ, корабни кабини
51113005;Обслужващ, полета
51113006;Стюард/стюардеса
51113007;Ръководител кабинен състав
51113008;Рентгенов оператор, пътници/багажи
51121001;Кондуктор
51123002;Контрольор по редовността на пътниците
51133001;Аниматор
51133002;Водач, ловен туризъм
51133003;Водач, парк за забавления
51133004;Планински водач/гид
51133005;Екскурзовод
51136006;Екскурзовод, музей/художествена галерия
51202001;Готвач
51202002;Сладкар
51202003;Помощник-готвач
51202004;Помощник-сладкар
51202005;Карвинг-декоратор
51312001;Главен сервитьор
51312002;Обслужващ, бюфет/лавка
51312003;Салонен управител
51312004;Сервитьор
51312005;Отговорник, търговска зала
51312006;Сомелиер
51322001;Барман
51322002;Бариста
51412001;Фризьор
51412002;Бръснар
51412003;Перукер
51422001;Гримьор
51422002;Козметик
51422003;Маникюрист
51422004;Педикюрист
51422005;Обслужващ, баня
51422006;Обслужващ, сауна
51422007;Консултант по отслабване
51423008;Пиърсър
51512001;Иконом
51511002;Пиколо
51511003;Прислужник, хотел
51511004;Хост (хостеса)
51511005;Домакин (пазач), къмпинг
51511006;Домакин (пазач), спални помещения в общежития, пансиони и др.
51511007;Консиерж
51523001;Собственик, къща за гости
51521002;Домашна помощница
51521003;Иконом, домакинство
51521004;Прислужник, поддържане на къща
51530001;Домакин, сграда
51530002;Домакин-чистач, сграда
51530003;Домоуправител
51530004;Уредник, сграда
51530005;Клисар
51532006;Управител общежитие
51618001;Астролог
51618002;Гадател
51618003;Окултист
51618004;Френолог
51618005;Хиромант
51618006;Ясновидец
51621001;Камериер/камериерка
51621002;Главен камериер/камериерка, хотел
51621003;Камериер/камериерка, хотел
51621004;Прислужник
51620005;Компаньонка
51631001;Балсаматор-гримьор
51631002;Гробар
51631003;Завеждащ бюро, обредни услуги
51631004;Обредник
51631005;Обслужващ, погребално бюро
51631006;Прахосъбирач
51631007;Преносвач
51631008;Ръководещ тъжни обреди и ритуали
51641001;Гледач, дресирани животни
51641002;Гледач, лабораторни животни
51641003;Дресьор (водач), кучета
51641004;Дресьор, обяздвач на коне
51641005;Пазач, дивеч
51641006;Пазач, животни в зоопарк
51641007;Съдържател, кучкарник
51641008;Треньор, състезателни коне
51641009;Гледач,служебни животни
51642010;Кинолог
51641011;Работник, зоопарк
51642012;Зоофризьор
51642013;Гледач, животни в зоопарк
51643014;Акварист
51655001;Преподавател - инструктор на водачи на моторно превозно средство
51693001;Домакин, клуб
51693002;Отговорник, ателие
51691003;Работник, фотоателие
51691004;Домакин, стол
51691005;Началник ремонтна работилница
51692006;Отговорник, автомивка
51693007;Инструктор
51693008;Организатор дейности
51693009;Масажист
51694010;Боуен специалист
51693011;Приложен специалист, арома процедури
52111001;Продавач, павилион
52111002;Продавач, пазар
52111003;Продавач, улична сергия
52120001;Продавач, бюфет
52120002;Продавач, закуски и напитки
52120003;Продавач, хранителни продукти
52213001;Управител, търговия на дребно (доставки по домовете)
52213002;Управител, търговия на дребно (магазини на самообслужване)
52213003;Собственик, малък магазин
52213004;Собственик, павилион за вестници
52223001;Супервайзър, магазин
52223002;Специалист с контролни функции, търговия 
52232001;Продавач-консултант
52232002;Асистент-продавач
52233003;Консултант козметични, парфюмерийни, био продукти и битова химия
52301001;Касиер
52301002;Маркировач, ресторант
52300003;Продавач, билети
52410001;Манекен
52410002;Модел
52410003;Фотомодел
52421001;Демонстратор
52421002;Мърчандайзер, продажби
52430001;Пласьор, стоки
52430002;Продавач, разносна търговия
52430003;Работник, изпълняващ доставки по домовете
52440001;Продавач, изпълнение на поръчки по телефона
52440002;Продавач, Интернет търговия
52440003;Продавач, телемаркет
52450001;Обслужващ, бензиностанция/газостанция
52460001;Обслужващ, салатен бар
52460002;Обслужващ на щанд, кафетерия
52460003;Обслужващ, кулинарен щанд
52490001;Обслужващ, магазин
52490002;Помощник, магазин
52490003;Продавач, автомобили
52490004;Продавач, плавателни съдове
52490005;Служител, коли под наем
52491006;Изкупвач, селскостопанска продукция
52493007;Книжар
53111001;Детегледачка
53111002;Бавачка
53111003;Гувернантка
53113004;Приемен родител
53123001;Помощник на учителя
53123002;Обслужващ, деца в училища
53123003;Помощник-възпитател
53123004;Образователен медиатор
53211001;Болногледач
53211002;Санитар
53211003;Хигиенист, здравно заведение
53221001;Домашен санитар
53221002;Личен асистент
53221003;Социален асистент
53221004;Разносвач на храна
53293001;Асистент на лекар по дентална медицина
53291002;Водолечител
53291003;Дезинфектатор
53291004;Калолечител
53291005;Луголечител
53291006;Стерилизатор
53291007;Парафинист
53291008;Трудотерапевт
53291009;Здравен асистент
54115001;Главен пожарникар
54113002;Старши пожарникар
54113003;Пожарникар
54113004;Патрул (горски пожари)
54123001;Полицай
54124002;Старши полицай
54123003;Технически сътрудник, полиция и служби за сигурност
54124004;Старши технически сътрудник, полиция и служби за сигурност
54123005;Охрана, полицейска
54123006;Патрул, полицейски
54123007;Оперативен дежурен
54123008;Автоконтрольор
54123009;Младши автоконтрольор
54124010;Граничен контрольор
54124011;Старши граничен контрольор
54124012;Старши командос
54123013;Командир, екип
54123014;Командир, отделение
54123015;Командос
54125016;Младши районен инспектор
54123017;Младши оперативен работник
54133001;Домакин, затворническо общежитие
54133002;Надзирател, затвор
54133003;Надзирател
54133004;Настойник, затвор
54133005;Охрана, следствена служба
54133006;Охрана, затворническа
54133007;Пазач, затвор
54141001;Ловен надзирател
54141002;Пазач, въоръжена охрана
54141003;Патрул, служби за сигурност
54141004;Полски пазач-пъдар
54141005;Прелезопазач
54141006;Риболовен надзирател
54141007;Охранител
54143008;Младши инструктор, охраната
54143009;Старши сътрудник, охраната
54143010;Сътрудник, охрана
54143011;Горски стражар
54143012;Организатор, охрана
54143013;Оператор, сигурност
54140015;Пазач-портиер
54191001;Планински спасител
54191002;Спасител, плаж
54191003;Спасител при бедствия, аварии и катастрофи
54191004;Спасител на ски-писта
54193005;Сътрудник–оръжейник
54193006;Лична охрана
54192007;Спасител, басейн
61113001;Управител, селско стопанство
61112002;Фермер, отглеждащ захарно цвекло
61112003;Фермер, отглеждащ зеленчуци
61112004;Фермер, отглеждащ зърнени култури
61112005;Фермер, отглеждащ лен
61112006;Фермер, отглеждащ люцерна
61112007;Фермер, отглеждащ полски култури (различни видове)
61112008;Фермер, отглеждащ тютюн
61112009;Фермер, отглеждащ фъстъци
61111010;Тютюнопроизводител
61111011;Зеленчукопроизводител
61111012;Полевъд
61111013;Работник, напояване (обслужващ напоителни системи)
61111014;Работник, отглеждащ захарно цвекло
61111015;Работник, производител на захарно цвекло
61111016;Работник, отглеждащ зеленчуци
61111017;Работник, отглеждащ лен
61111018;Работник, отглеждащ зърнени култури
61111019;Работник, отглеждащ памук
61111020;Работник, производител на памук
61111021;Работник, отглеждащ тютюн
61111022;Работник, поливач
61122001;Фермер, отглеждащ лозя
61122002;Фермер, отглеждащ овощни дървета
61122003;Фермер, отглеждащ плодове
61122004;Фермер, отглеждащ хмел
61121005;Лозар
61121006;Овощар
61121007;Работник, овощна градина
61121008;Работник, отглеждащ плодове
61121009;Работник, отглеждащ трайни насаждения
61121010;Работник, отглеждащ хмел
61121011;Работник, добив на балсамова смола
61121012;Работник, облагородяване на овощни дървета
61121013;Работник, присаждане на овощни дървета и други трайни насаждения
61131001;Билкопроизводител
61131002;Градинар
61131003;Градинар, сезонен
61131004;Гъбар
61131005;Семепроизводител
61131006;Фиданкопроизводител
61131007;Цветопроизводител
61131008;Работник, оранжерия/парник
61142001;Фермер, смесени култури
61141002;Работник в стопанство, смесени култури
61212002;Фермер, животновъд
61212003;Фермер, коневъд
61212004;Фермер, производител на кожи
61212005;Фермер, производител на млечни продукти
61212006;Фермер, производител на мляко
61212007;Фермер, развъждащ племенни животни
61211008;Животновъд
61211009;Млекар, експедитор
61211010;Приемчик, мляко
61211011;Работник, отглеждащ селскостопански животни
61211012;Работник, производител на млечни продукти
61211013;Работник, развъждащ едър рогат добитък
61211014;Работник, развъждащ кучета/котки
61211015;Работник, стригач
61222001;Фермер, отглеждащ птици
61222002;Фермер, производител на яйца
61222003;Фермер, развъждащ птици в инкубатор
61221004;Овоскопист
61221005;Оператор, инкубатор
61221006;Птицевъд
61221007;Съдържател, птичарник
61221008;Работник, ферма за птици
61221009;Работник, развъждащ птици в инкубатор
61232001;Фермер, пчелар
61232002;Фермер, пчеловъд
61232003;Фермер, отглеждане на копринени буби
61231004;Пчелар
61231005;Гледач, копринени буби (бубар)
61231006;Копринар
61231007;Работник, добив на пчелно млечице/пчелна отрова
61231008;Работник, производство на бубено семе
61292001;Фермер, зайцевъд
61292002;Фермер, развъждащ кръстосани животни
61291003;Фуражист
61291004;Гледач, работен добитък
61291005;Дивечовъд
61291006;Съдържател, резерват за животни
61291007;Работник, ферма за диви животни с ценни кожи
61291008;Работник, ферма за кръстосани животни
61291009;Работник, развъждащ влечуги (без змии)
61291010;Работник, развъждащ диви птици
61291011;Работник, развъждащ змии
61291012;Работник, развъждащ лабораторни животни
61291013;Работник, развъждащ охлюви
61291014;Работник, развъждащ пойни и декоративни птици
61291015;Работник, селекционер на кръстосани животни
61293016;Управител, дивечовъдно стопанство
61293017;Фермер, дивечовъд
61302001;Фермер, смесено стопанство
61301002;Работник, смесено стопанство
62103001;Управител, горско стопанство
62103002;Управител, лов
62101003;Горски работник
62101004;Горски работник, сезонен
62101005;Дървар
62101006;Залесител
62101007;Извозвач, дървен материал
62101008;Горски пазач
62101009;Лесозащитник
62101010;Маркировач, лесофонд и дървен материал
62101011;Резач, горски дървен материал
62101012;Резач, греди и пръти
62101013;Резач, траверси
62101014;Товарач, трупи и друг дървен материал
62101015;Въглищар, производител на дървени въглища
62101016;Работник, обработка на трупи
62101017;Работник, отглеждане на горски култури
62101018;Горски работник, дървесна дестилация (традиционна техника)
62101019;Работник, добив на пънна борина
62212001;Управител, рибно стопанство
62212002;Фермер, отглеждащ аквакултури
62212003;Фермер, рибовъд
62211004;Работник, ферма за аквакултури
62211005;Работник, ферма (рибовъд)
62221001;Рибар, вътрешни води
62221002;Рибар, крайбрежни води
62231001;Рибар, дълбоки морски води
62231002;Рибар, член на екипаж, дълбоки морски води
62231003;Тралмайстор
62241001;Ловец
62241002;Ловец, диви животни
63102001;Фермер, растениевъдство за собствено потребление
63102002;Фермер, смесени култури за собствено потребление
63202001;Фермер, животновъдство за собствено потребление
63301001;Работник, отглеждащ растения и животни за собствено потребление
63400001;Риболовец, произвеждащ за собствено потребление
63400002;Ловец, произвеждащ за собствено потребление
63400003;Берач, произвеждащ за собствено потребление
71112001;Строител, жилища
71112002;Строител, сгради от сглобяеми елементи
71122001;Зидар
71122002;Зидар, комини
71122003;Монтажник, панели/формовани блокове
71122004;Зидар, пещи
71122005;Зидар, сгради (конструкции)
71122006;Зидар, облицовка на пещи
71122007;Зидар при горещ ремонт на металургични пещи и съоръжения
71122008;Зидаромазач
71122009;Редач, огнеупорни тухли
71132001;Дооформител, камъни и плочи
71132002;Каменар
71132003;Каменар, каменна зидария
71132004;Каменодълбач
71132005;Каменоредач (оформител)
71132006;Каменотрошач
71132007;Каменоделец на паметници
71132008;Каменоделец
71132009;Каменоделец, облицовки
71132010;Настройчик-оператор, струг/машина за обработка на камъни
71132011;Полировач, камъни
71132012;Резач, камъни
71132013;Резач, скални материали за художествена мозайка
71132014;Сортировач, камъни
71132015;Трошач, камъни (чрез взривяване)
71132016;Цепач, камъни
71132017;Шлифовчик
71132018;Работник, обработване и художествено оформяне на каменни изделия
71132019;Работник, производство на плочи
71132020;Работник, полагане на паваж
71142001;Арматурист
71142002;Бетонджия
71142003;Кофражист
71142004;Кофражист, бетонни отливки
71142005;Мозайкаджия
71142006;Работник, бетонобъркачка
71142007;Формовчик, бетонни изделия
71152001;Дограмаджия, дърво/пластмаса/алуминий
71152002;Дърводелец
71152003;Дърводелец, мина
71152004;Дърводелец, дървени конструкции
71152005;Дърводелец, мостови конструкции
71152006;Дърводелец, поддръжка
71152007;Дърводелец, корабен
71152008;Дърводелец, лодкостроител
71152009;Дърводелец, строителен
71152010;Строител, дървени шлепове
71152011;Корабен кофражист
71192001;Строител, релсови пътища
71192002;Строител, пътища
71192003;Строител, стоманобетонни промишлени комини
71192004;Строител, комини
71192005;Строител, лодки/катери/корабни корпуси и други от стъклопласти
71192006;Асфалтаджия
71192007;Строител, алпинист
71192008;Монтажник, скеле
71192009;Монтажник, стоманобетонни конструкции и изделия
71192010;Монтажник, строителни подпори
71192011;Работник, стоманобетонни конструкции и изделия
71192012;Работник, разрушаване на сгради
71192013;Работник, полагане на пътни настилки
71192014;Работник, ремонт на комини
71192015;Работник, строителство и ремонт на кули
71192016;Работник, поддръжка на сгради
71192017;Работник, специално фундиране
71192018;Работник, строителни подпори
71212001;Работник, изграждане и ремонт на покривни покрития
71212002;Тенекеджия, довършителни работи в строителството
71222001;Работник, подови облицовки и настилки
71222002;Паркетчия
71232001;Гипсаджия
71232002;Гипсаджия, орнаменти
71232003;Гипсаджия, мазач
71232004;Шпакловчик
71242001;Корабен изолировач
71242002;Строителен импрегнатор
71242003;Хидроизолаторчик
71242004;Работник, акустична изолация
71242005;Работник, изолация
71242006;Работник, изолация на хладилни и климатични инсталации
71242007;Работник, ремонт на топлинна изолация
71242008;Работник, строителна изолация
71252001;Монтажник, стъкла в сгради
71252002;Монтажник, художествено стъкло
71252003;Стъклар
71252004;Стъклар, двойно остъкляване
71252005;Стъклар, остъкляване на покриви
71252006;Стъклар, остъкляване на транспортни средства
71262001;Водопроводчик (външно водоснабдяване и канализация)
71262002;Водопроводчик (вътрешно водоснабдяване и канализация)
71262003;Водопроводчик, химическата промишленост
71262004;Водопроводчик, кораб
71262005;Водопроводчик, поддръжка
71262006;Изготвител, корабни тръбни инсталации
71262007;Изготвител, монтажник на корабни вентилационни системи и обшивки
71262008;Каналджия
71262009;Монтьор, водопроводни тръби
71262010;Монтьор, газопроводни тръби
71262011;Монтьор, вентилационни тръби
71262012;Монтьор, морски тръбопроводи
71262013;Монтьор, паропроводни тръби
71262014;Монтьор, тръби в самолети
71262015;Монтьор, тръби за продуктопроводи
71262016;Пробивач, кладенци
71262017;Работник, ремонт и поддръжка на линейни газопроводи
71262018;Работник, полагане на дренаж
71262019;Водопроводчик, аварийна група
71272002;Монтажник, хладилни и климатични инсталации
71272003;Монтьор, вътрешноотоплителни инсталации
71272004;Монтьор, топлофикационни съоръжения
71311001;Бояджия, сгради
71311002;Бояджия, сценични декори
71311003;Бояджия, декоратор на сгради
71311004;Бояджия, декоратор на стенни пана
71311005;Бояджия, корабни корпуси
71311006;Варосвач, баданосвач
71311007;Тапетаджия
71321001;Бояджия, стоманени конструкции
71321002;Бояджия, превозни средства
71321003;Бояджия, промишлени изделия
71321004;Бояджия, корабен
71321005;Грундировач
71321006;Лакировач, метал
71321007;Лакировач, превозни средства
71321008;Лакировач, промишлени изделия
71322009;Авиобояджия
71322010;Бояджия, електростатично прахово покритие
71331001;Коминочистач
71331002;Чистач, фасади на сгради
72111001;Леяр
72111002;Пещар
72111003;Пясъкоструйчик
72111004;Работник, силози и въглищна кула
72111005;Работник, зареждане и сплавяне
72111006;Работник, нитрация
72111007;Работник, обработка на маринг
72111008;Работник, подготовка на състави за разливане на стомана
72111009;Работник, поддържане на съоръжения в тунели на коксова батерия
72111010;Работник, събличане на блокова стомана
72111011;Работник, формовъчни смеси
72111012;Работник, каляване на метали
72111013;Работник по преработка на чугун
72111014;Разливач, метал
72111015;Рафиньор, метал
72111016;Смесоприготвител
72111017;Сортировач-опаковчик, металургична продукция
72111018;Стомановар
72111019;Сушилчик
72111020;Електропещар
72111021;Зачиствач на люкове и врати
72112022;Агломератчик, металургия
72112023;Арматурист, леярски форми и сърца
72112024;Асфалтьор на метални изделия
72112025;Бисмутчик
72112026;Водопроводчик-мазутчик, металургична пещ
72112027;Газовчик
72112028;Галванотехник
72112029;Галтовчик
72112030;Дозировач
72112031;Електродчик
72112032;Заливач, форми
72112033;Изтегляч, метал
72112034;Изтърсвач, форми и отливки
72112035;Калибровчик, валци
72112036;Катодчик
72112037;Коксосортировач
72112038;Конверторчик
72112039;Кофаджия
72112040;Миксеровач
72112041;Моделчик
72112042;Наливач, метални спирали
72112043;Наплавчик
72112044;Парографик и термографик
72112045;Почиствач, метални отливки/изделия
72112046;Приемчик-разпределител, металургията
72112047;Противопригарчик
72112048;Прочиствач-шмиргелист, отливки
72112049;Сърцар, метал
72112050;Сърцар-формовчик
72112051;Темперовчик, отливки
72112052;Термист
72112053;Топилчик
72112054;Феросплавчик
72112055;Флюсовар
72112056;Флюсодобивчик
72112057;Формовчик
72112058;Чугунодобивчик
72112059;Шихтовчик
72112060;Шлаковчик
72111061;Дробоструйчик
72121001;Заварчик
72122002;Аргончик
72122003;Газорезчик
72122004;Електрозаварчик
72122005;Заварчик, затворени съдове
72122006;Запойчик
72122007;Корабен електрозаварчик, двойни дъна и затворени съдове
72122008;Оксиженист
72122009;Оксиженист, газозаварчик
72122010;Пилозъбчик
72122011;Плазморезчик
72122012;Плазовчик
72122013;Пресовчик, лагери
72122014;Припойчик
72122015;Протиргчик
72122016;Работник, кислородна станция
