Код;Наименование
12116005;Ръководител, финансов отдел
12116006;Ръководител, финансов сектор
12116007;Ръководител, счетоводен отдел
12116008;Директор за връзки с инвеститорите
12116009;Корпоративен секретар
12126001;Управител, човешки ресурси
12126002;Директор/Мениджър човешки ресурси
12126003;Ръководител, отдел човешки ресурси
12126004;Ръководител, сектор човешки ресурси
12126005;Ръководител, организация и ефективност на труда
12126006;Ръководител, набиране на персонал
12126007;Ръководител, здравословни и безопасни условия на труд
12137001;Главен юрист, Българска народна банка
12137002;Главен касиер, Българска народна банка
12137003;Главен счетоводител, Българска народна банка
12139004;Член, Надзорен съвет на агенция
12139005;Член, Сметна палата
12139006;Член, държавна комисия
12137007;Директор дирекция, администрация на Президента
12137008;Директор дирекция, администрация
12137009;Директор дирекция, Сметна палата
12137010;Директор, областна администрация
12137011;Директор на юридическо лице по чл. 60 от Закона за администрацията
12136012;Директор дирекция, община
12137013;Директор на дирекция в Столична община
12137014;Директор дирекция, политики и стратегическо планиране
12137015;Икономически директор
12136016;Мениджър, корпоративно планиране
12137017;Заместник-директор на дирекция, администрация
12137018;Председател на медицинска комисия, лекар, НОИ
12137019;Началник отдел, Народно събрание
12137020;Началник отдел, администрация на Президента
12137021;Началник отдел, Сметна палата
12136022;Началник отдел, администрация
12137023;Началник отдел, областна администрация
12136024;Началник отдел, община/район
12137025;Началник отдел, Столична община
12136026;Началник отдел, кметство
12136027;Началник сектор, администрация Народното събрание
12136028;Началник сектор, администрация на Президента
12136029;Началник сектор, администрация
12136030;Началник сектор, Сметна палата
12137031;Началник сектор, областна администрация
12137032;Началник сектор, териториално поделение 
12137033;Началник сектор, териториално звено
12136034;Началник сектор, община/район
12136035;Началник сектор, Столична община
12137036;Ръководител инспекторат, администрация
12137037;Началник управление, Българска народна банка
12137038;Главен одитор, Българска народна банка
12137039;Ръководител, вътрешен одит
12137040;Ръководител вътрешен одит, Сметна палата
12137041;Ръководител сектор експертиза на работоспособността, лекар
12137042;Ръководител инспекторат, Столична община
12137043;Ръководител, отдел по икономически анализи и прогнози
12137044;Ръководител, стратегическо планиране
12137045;Ръководител филиал, териториално поделение на НОИ
12135046;Ръководител проект 
12135047;Ръководител, технически надзор
12135048;Директор дирекция, администрация на МС
12135049;Началник отдел, администрация на МС
12135050;Началник сектор, администрация на МС
12136051;Главен инженер, предприятие
12137052;Инспектор в инспектората към министъра на правосъдието
12137053;Разследващ митнически инспектор
12137054;Член на Медицинска комисия, лекар, НОИ
12136055;Ръководител на звено в митнически пункт
12136056;Регионален инспектор 
12136057;Секретар на местна комисия за борба срещу противообществените прояви на малолетните и непълнолетните
12137058;Ръководител на специализирано звено за разследване
12136059;Мениджър, устойчивост
12197001;Директор дирекция, административни дейности
12196002;Управител, бизнес услуги
12196003;Управител, чистота
12195004;Мениджър, инфраструктура и логистика в предприятие 
12195005;Ръководител, направление
12195006;Фасилити мениджър
12196007;Ръководител, отдел в бизнес услугите
12193008;Ръководител, отдел в битовото обслужване
12193009;Ръководител, отдел в чистотата
12196010;Ръководител/началник, административен отдел
12196011;Ръководител звено
12195012;Ръководител, група
12195013;Ръководител, клиентски център
12195014;Главен директор, банка
12195015;Директор дирекция, банка
12195016;Началник управление, банка
12195017;Ръководител регионално звено
12195018;Ръководител/Директор/Началник  управление 
12196019;Ръководител/Началник сектор
12196020;Ръководител/Началник служба
12196021;Ръководител/Началник/Мениджър отдел
12196022;Директор дирекция
12197023;Ръководител интегрирана система за управление
12197024;Началник, административна служба
12217001;Търговски директор
12216002;Управител, продажби и маркетинг
12216003;Мениджър покупки/продажби
12216004;Маркетинг мениджър/Директор маркетинг
12216005;Мениджър проучване на пазари
12216006;Ръководител, външнотърговска кантора
12216007;Ръководител, отдел по маркетинг
12216008;Ръководител, отдел по продажбите
12216009;Мениджър на търговската марка/Бранд мениджър
12226001;Ръководител звено, връзки с обществеността
12226002;Ръководител звено, реклама
12226003;Мениджър, връзки с обществеността
12226004;Мениджър, реклама
12226005;Управител, реклама и връзки с обществеността 
12237001;Председател, Българска академия на науките
12237002;Заместник-председател, Българска академия на науките
12237003;Директор, институт
12237004;Заместник-директор, институт
12237005;Главен научен секретар
12237006;Ръководител звено, изследване и развитие
12237007;Ръководител, научна програма
12237008;Ръководител, научен програмен колектив
12237009;Ръководител, научна секция
12237010;Главен конструктор
12237011;Началник отдел технически и качествен контрол
12233012;Завеждащ научна лаборатория
12237013;Ръководител на научна група в музей/художествена галерия
13113001;Ръководител участък, горско стопанство (лесничейство)
13113002;Ръководител участък, земеделие
13116003;Ръководител, горско стопанство
13116004;Ръководител, земеделие
13116005;Ръководител, животновъдство
13116006;Главен лесничей
13115007;Ръководител ловно стопанство
13123001;Ръководител участък, риболов
13126002;Ръководител, риболов
13126003;Ръководител, рибовъдство
13213001;Управител, преработваща промишленост
13217002;Мениджър, производство
13217003;Главен инженер, преработваща промишленост
13215004;Началник, цех
13217005;Началник производство
13216006;Заместник-ръководител, обособено производство
13216007;Ръководител, отдел в промишлеността
13216008;Ръководител, обособено производство
13216009;Ръководител сектор/звено в промишлеността
13217010;Ръководител, производствено поделение
13217011;Ръководител, структурно звено/ядрен енергиен блок
13217012;Ръководител, структурно звено/ядрена електроцентрала
13217013;Главен технолог, ядрен енергиен блок
13217014;Главен технолог, ядрена централа
13217015;Главен технолог, преработваща промишленост
13217016;Главен енергетик
13217017;Главен механик
13215018;Ръководител, лаборатория в предприятие
13215019;Главен корабостроител 
13215020;Директор, производство
13215021;Технически директор
13215022;Ръководител, пречиствателна станция
13215023;Главен метролог
13215024;Ръководител група, преработваща промишленост
13215025;Ръководител, инсталация
13215026;Ръководител, резервоарен парк
13216027;Директор дирекция, преработваща промишленост
13216028;Ръководител, инфраструктура и поддръжка
13217029;Ръководител производство, лекарствени продукти
13216030;Квалифицирано лице, фармацевтично производство
13223001;Управител, добивна промишленост
13227002;Началник, рудник
13227003;Началник, обогатителна фабрика
13227004;Главен инженер, добивна промишленост
13226005;Ръководител група, добивна промишленост
13226006;Ръководител участък, добивна промишленост
13223007;Ръководител подземен обект
13227008;Ръководител минноспасителна служба
13227009;Директор, обогатителен комплекс
13227010;Директор, рудодобивен комплекс
13235001;Управител , проектиране
13235002;Управител, строителство
13236003;Главен инженер, строителство
13233004;Строителен предприемач
13236005;Инженер, строителен надзор
13237006;Началник, строителен обект
13236007;Началник, строеж
13236008;Ръководител, отдел в строителството
13237009;Ръководител, отдел в проектирането
13237010;Ръководител, група в строителството
13236011;Мениджър, инвестиционни проекти
13243001;Мениджър, логистика
13245002;Директор, закупуване
13243003;Управител, складово стопанство
13243004;Управител, транспорт
13247005;Началник, аерогара
13247006;Началник, летище
13247007;Началник, морска гара
13247008;Началник, речна гара
13247009;Началник на ремонтно звено, транспорт
13243010;Началник участък, свръзки и ел. съоръжения
13243011;Началник участък, осигурителни инсталации
13243012;Началник, тягова подстанция в железопътен транспорт
13243013;Началник, подрайон по контактна железопътна мрежа
13243014;Началник, участък по поддържане на железния път и съоръженията
13243015;Началник, автогара
13243016;Началник, експлоатационно звено в транспорта
13243017;Началник, превозна служба
13245018;Началник, железопътна гара
13245019;Началник, метростанция
13243020;Началник, вагонно-ревизорски участък
13243021;Ръководител, отдел в транспорта
13245022;Заместник-началник, железопътна гара
13246023;Ръководител, отдел в транспорта (нефто- и газопроводи)
13245024;Ръководител, отдел в складовото стопанство
