id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id/id
bg_ncop_2342,Учители в предучилищно възпитание и подготовка,2342,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2351,Специалисти по образователни методи,2351,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2352,Учители за лица със специални образователни потребности,2352,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2353,Други учители/ преподаватели по чужд език в занимания по интереси,2353,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2354,Други учители/ преподаватели по музика в занимания по интереси,2354,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2355,Други учители/ преподаватели по изкуства в занимания по интереси,2355,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2356,Други учители/ преподаватели по информационни технологии в занимания по интереси,2356,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2359,Други преподаватели н.д.,2359,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2411,Одитори и счетоводители,2411,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2412,Финансови и инвестиционни консултанти,2412,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2413,Финансови анализатори,2413,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2421,Анализатори по управление и организация,2421,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2422,Специалисти по администриране на политики,2422,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2423,Специалисти по управление на персонала и кариерно развитие,2423,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2424,Специалисти по обучение и развитие на персонала,2424,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2431,Специалисти по реклама и маркетинг,2431,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2432,Специалисти по връзки с обществеността,2432,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2433,Специалисти по продажби в областта на медицината и техниката (без информационни и комуникационни технологии),2433,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2434,Специалисти по продажби в областта на информационните и комуникационни технологии,2434,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2511,Системни анализатори,2511,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2512,Софтуерни разработчици,2512,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2513,Разработчици на уебсъдържание и мултимедия,2513,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2514,Приложни програмисти,2514,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2519,Разработчици на софтуер и софтуерни приложения и анализатори н.д.,2519,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2521,Проектанти и администратори на бази данни,2521,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2522,Системни администратори,2522,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2523,Специалисти по компютърни мрежи,2523,unit_group,specialist,higher,4,2025-01-01,TRUE
