code;description;unit_id
02023010;Предни четвъртинки, цели или нарязани максимум на пет парчета, като всяка предна четвъртинка е замразена поотделно  „компенсирани“ четвъртинки, замразени на два блока, единият от които съдържа предната четвъртинка, цяла или нарязана на максимум пет парчета, а другият - задната четвъртинка без филето, в едно цяло парче, обезкостени, от животни от рода на едрия рогат добитък;intrastat_unit_none
02023050;Разфасовки от предни четвъртинки и от гърди, наречени „австралийски“, обезкостени, от животни от рода на едрия рогат добитък, замразени;intrastat_unit_none
02023090;Обезкостени разфасовки от животни от рода на едрия рогат добитък, замразени (с изключение на предни четвъртинки, цели или нарязани максимум на пет парчета, като всяка предна четвъртинка е замразена поотделно  „компенсирани“ четвъртинки, замразени на два блока, единият от които съдържа предната четвъртинка, цяла или нарязана на максимум пет парчета, а другият - задната четвъртинка без филето, в едно цяло парче;intrastat_unit_none
02031110;Цели или половин трупове от домашни свине, пресни или охладени;intrastat_unit_none
02031190;Цели или половин трупове от животни от рода на свинете, различни от домашните, пресни или охладени;intrastat_unit_none
02031211;Бутове и разфасовки от тях, необезкостени, от домашни свине, пресни или охладени;intrastat_unit_none
02031219;Плешки и разфасовки от тях, необезкостени, от домашни свине, пресни или охладени;intrastat_unit_none
02031290;Бутове, плешки и разфасовки от тях, необезкостени, от животни от рода на свинете, различни от домашните, пресни или охладени;intrastat_unit_none
02031911;Предни части и разфасовки от тях, от домашни свине, пресни или охладени;intrastat_unit_none
02031913;Котлети и разфасовки от тях, от домашни свине, пресни или охладени;intrastat_unit_none
02031915;Гърди (шарено месо) и разфасовки от тях, от домашни свине, пресни или охладени;intrastat_unit_none
02031955;Обезкостени разфасовки от домашни свине, пресни или охладени (с изключение на гърди и разфасовки от тях );intrastat_unit_none
02031959;Обезкостени разфасовки от домашни свине, пресни или охладени (с изключение на цели или половин трупове, бутове, плешки, предни части, котлети, гърди и разфасовки от тях);intrastat_unit_none
02031990;Меса от животни от рода на свинете, различни от домашните, пресни или охладени  (с изключение на цели или половин трупове, бутове, плешки и разфасовки от тях, обезкостени);intrastat_unit_none
02032110;Цели или половин трупове от домашни свине, замразени;intrastat_unit_none
02032190;Цели или половин трупове от животни от рода на свинете, различни от домашните, замразени;intrastat_unit_none
02032211;Бутове и разфасовки от тях, необезкостени, от домашни свине, замразени;intrastat_unit_none
02032219;Плешки и разфасовки от тях, необезкостени, от домашни свине, замразени;intrastat_unit_none
02032290;Бутове, плешки и разфасовки от тях, необезкостени, от животни от рода на свинете, различни от домашните, замразени;intrastat_unit_none
02032911;Предни части и разфасовки от тях от домашни свине, замразени;intrastat_unit_none
02032913;Котлети и разфасовки от тях от домашни свине, замразени;intrastat_unit_none
02032915;Гърди (шарено месо) и разфасовки от тях от домашни свине, замразени;intrastat_unit_none
