id,ekatte,type_village_city_id/id,name,code,structure_type,country_id/id,zipcode,has_taxoffice
l10n_bg.04683,4683,l10n_bg.village,Bogdanchovtsi,GAB05-00,normal,base.bg,,False
l10n_bg.04697,4697,l10n_bg.village,Bogoyna,PER51-00,normal,base.bg,,False
l10n_bg.04724,4724,l10n_bg.village,Bogomil,HKV33-00,normal,base.bg,,False
l10n_bg.04755,4755,l10n_bg.village,Bogomolsko,TGV02-00,normal,base.bg,,False
l10n_bg.04772,4772,l10n_bg.village,Bogorovo,SLS31-00,normal,base.bg,,False
l10n_bg.04786,4786,l10n_bg.village,Bogorovo,JAM22-00,normal,base.bg,,False
l10n_bg.66322,66322,l10n_bg.village,Bogoroditsa,BLG33-00,normal,base.bg,,False
l10n_bg.04813,4813,l10n_bg.village,Bogyovtsi,SFO26-00,normal,base.bg,,False
l10n_bg.04861,4861,l10n_bg.village,Boevo,SML27-00,normal,base.bg,,False
l10n_bg.04892,4892,l10n_bg.village,Boeritsa,SFO20-00,normal,base.bg,,False
l10n_bg.04927,4927,l10n_bg.village,Bozhanovo,DOB29-00,normal,base.bg,,False
l10n_bg.04933,4933,l10n_bg.village,Bozhdovo,BLG40-00,normal,base.bg,,False
l10n_bg.04950,4950,l10n_bg.village,Bozhenitsa,SFO07-00,normal,base.bg,,False
l10n_bg.04964,4964,l10n_bg.village,Bozhentsite,GAB05-00,normal,base.bg,,False
l10n_bg.04981,4981,l10n_bg.village,Bozhichen,RSE13-00,normal,base.bg,,False
l10n_bg.05009,5009,l10n_bg.village,Bozhurets,DOB17-00,normal,base.bg,,False
l10n_bg.05044,5044,l10n_bg.village,Bozhurluk,PVN16-00,normal,base.bg,,False
l10n_bg.05092,5092,l10n_bg.village,Bozadzhii,SLV20-00,normal,base.bg,,False
l10n_bg.07853,7853,l10n_bg.village,Bozyova,PAZ08-00,normal,base.bg,,False
l10n_bg.05147,5147,l10n_bg.village,Boykovets,SFO18-00,normal,base.bg,,False
l10n_bg.05150,5150,l10n_bg.village,Boykovo,PDV26-00,normal,base.bg,,False
l10n_bg.05164,5164,l10n_bg.village,Boykovtsi,VTR13-00,normal,base.bg,,False
l10n_bg.05181,5181,l10n_bg.village,Boynik,KRZ15-42,normal,base.bg,,False
l10n_bg.05219,5219,l10n_bg.village,Boynovtsi,GAB05-00,normal,base.bg,,False
l10n_bg.05222,5222,l10n_bg.village,Boychevi kolibi,VTR04-00,normal,base.bg,,False
l10n_bg.07908,7908,l10n_bg.village,Boycheta,GAB05-27,normal,base.bg,,False
l10n_bg.05240,5240,l10n_bg.village,Boychovtsi,VTR04-09,normal,base.bg,,False
l10n_bg.05253,5253,l10n_bg.village,Bokilovtsi,MON02-00,normal,base.bg,,False
l10n_bg.05267,5267,l10n_bg.village,Boltata,GAB05-00,normal,base.bg,,False
l10n_bg.07870,7870,l10n_bg.village,Bor,PDV01-00,normal,base.bg,,False
l10n_bg.05387,5387,l10n_bg.village,Borika,SML16-00,normal,base.bg,,False
l10n_bg.05390,5390,l10n_bg.village,Borika,SFO20-00,normal,base.bg,,False
l10n_bg.05400,5400,l10n_bg.village,Boriki,GAB05-00,normal,base.bg,,False
l10n_bg.05414,5414,l10n_bg.village,Borikovo,SML31-00,normal,base.bg,,False
l10n_bg.05520,5520,l10n_bg.village,Borisovo,JAM07-00,normal,base.bg,,False
l10n_bg.05534,5534,l10n_bg.village,Bornarevo,PER36-00,normal,base.bg,,False
l10n_bg.05565,5565,l10n_bg.village,Borovets,KNL27-00,normal,base.bg,,False
l10n_bg.05596,5596,l10n_bg.village,Borovichene,BLG33-00,normal,base.bg,,False
l10n_bg.05623,5623,l10n_bg.village,Borovo,PDV15-00,normal,base.bg,,False
l10n_bg.05637,5637,l10n_bg.village,Borovo,SZR31-00,normal,base.bg,,False
l10n_bg.05640,5640,l10n_bg.village,Borovsko,KRZ35-36,normal,base.bg,,False
l10n_bg.05668,5668,l10n_bg.village,Borskoto,GAB05-07,normal,base.bg,,False
l10n_bg.05671,5671,l10n_bg.village,Borushtitsa,SZR22-00,normal,base.bg,,False
l10n_bg.05709,5709,l10n_bg.village,Bosevtsi,VTR13-01,normal,base.bg,,False
l10n_bg.05712,5712,l10n_bg.village,Bosilitsa,KRZ35-36,normal,base.bg,,False
l10n_bg.05726,5726,l10n_bg.village,Bosilkovo,BGS23-00,normal,base.bg,,False
l10n_bg.05737,5737,l10n_bg.village,Bosilkovo,SML02-00,normal,base.bg,,False
l10n_bg.05760,5760,l10n_bg.village,Bosnek,PER32-00,normal,base.bg,,False
l10n_bg.05832,5832,l10n_bg.village,Botevo,VID09-00,normal,base.bg,,False
l10n_bg.05846,5846,l10n_bg.village,Botevo,VRC35-00,normal,base.bg,,False
l10n_bg.05852,5852,l10n_bg.village,Botevo,MON11-00,normal,base.bg,,False
l10n_bg.05904,5904,l10n_bg.village,Boturche,HKV11-04,normal,base.bg,,False
l10n_bg.05918,5918,l10n_bg.village,Bohova,PER51-00,normal,base.bg,,False
l10n_bg.05935,5935,l10n_bg.village,Bochkovtsi,VTR04-00,normal,base.bg,,False
l10n_bg.05997,5997,l10n_bg.village,Boyanovo,VID15-00,normal,base.bg,,False
l10n_bg.06015,6015,l10n_bg.village,Boyanovtsi,VTR04-00,normal,base.bg,,False
l10n_bg.06046,6046,l10n_bg.village,Braknitsa,TGV24-00,normal,base.bg,,False
l10n_bg.06050,6050,l10n_bg.village,Brakyovtsi,SFO09-00,normal,base.bg,,False
l10n_bg.06118,6118,l10n_bg.village,Brankovtsi,VTR04-00,normal,base.bg,,False
l10n_bg.06121,6121,l10n_bg.village,Brankovtsi,VID15-00,normal,base.bg,,False
l10n_bg.06135,6135,l10n_bg.village,Bratan,SLV11-00,normal,base.bg,,False
l10n_bg.06175,6175,l10n_bg.village,Bratushkovo,SFO45-00,normal,base.bg,,False
l10n_bg.07939,7939,l10n_bg.village,Brezhana,KRZ08-18,normal,base.bg,,False
l10n_bg.06241,6241,l10n_bg.village,Brezhnitsite,GAB35-04,normal,base.bg,,False
l10n_bg.06255,6255,l10n_bg.village,Breza,SML27-09,normal,base.bg,,False
l10n_bg.06313,6313,l10n_bg.village,Breznishki izvor,PER08-00,normal,base.bg,,False
l10n_bg.06327,6327,l10n_bg.village,Brezovdol,SFO43-00,normal,base.bg,,False
l10n_bg.06344,6344,l10n_bg.village,Brezovo,VTR13-00,normal,base.bg,,False
l10n_bg.06392,6392,l10n_bg.village,Brest,KNL50-00,normal,base.bg,,False
l10n_bg.06421,6421,l10n_bg.village,Brestaka,SFO56-00,normal,base.bg,,False
l10n_bg.06464,6464,l10n_bg.village,Brestnitsa,DOB27-00,normal,base.bg,,False
l10n_bg.06478,6478,l10n_bg.village,Brestova,SZR37-00,normal,base.bg,,False
l10n_bg.06522,6522,l10n_bg.village,Brestovo,BLG44-00,normal,base.bg,,False
l10n_bg.06536,6536,l10n_bg.village,Brestovo,LOV18-00,normal,base.bg,,False
l10n_bg.06584,6584,l10n_bg.village,Brusevtsi,HKV18-00,normal,base.bg,,False
