id,ekatte,type_village_city_id/id,name,code,structure_type,country_id/id,zipcode,has_taxoffice
l10n_bg.54153,54153,l10n_bg.village,Осетеново,SZR24-08,cityhall,base.bg,,False
l10n_bg.54170,54170,l10n_bg.village,Осиковица,SFO34-05,cityhall,base.bg,,False
l10n_bg.54184,54184,l10n_bg.village,Осиково,BLG13-11,cityhall,base.bg,,False
l10n_bg.54198,54198,l10n_bg.village,Осиково,SML09-10,cityhall,base.bg,,False
l10n_bg.54208,54208,l10n_bg.village,Осиково,TGV24-25,cityhall,base.bg,,False
l10n_bg.54211,54211,l10n_bg.village,Осиковска Лакавица,SFO34-06,cityhall,base.bg,,False
l10n_bg.54225,54225,l10n_bg.village,Осина,BLG42-09,cityhall,base.bg,,False
l10n_bg.54273,54273,l10n_bg.village,Осмар,SHU23-08,cityhall,base.bg,,False
l10n_bg.54287,54287,l10n_bg.village,Осоица,SFO10-10,cityhall,base.bg,,False
l10n_bg.54300,54300,l10n_bg.village,Остра могила,SLV11-22,cityhall,base.bg,,False
l10n_bg.54345,54345,l10n_bg.village,Острец,TGV35-25,cityhall,base.bg,,False
l10n_bg.54362,54362,l10n_bg.village,Острица,RSE08-11,cityhall,base.bg,,False
l10n_bg.54386,54386,l10n_bg.village,Остров,VRC31-05,cityhall,base.bg,,False
l10n_bg.54393,54393,l10n_bg.village,Островец,KRZ14-29,cityhall,base.bg,,False
l10n_bg.54403,54403,l10n_bg.village,Островица,KRZ16-24,cityhall,base.bg,,False
l10n_bg.54417,54417,l10n_bg.village,Острово,RAZ11-04,cityhall,base.bg,,False
l10n_bg.54451,54451,l10n_bg.village,Отец Кирилово,PDV07-19,cityhall,base.bg,,False
l10n_bg.54465,54465,l10n_bg.village,Отец Паисиево,PDV12-09,cityhall,base.bg,,False
l10n_bg.54479,54479,l10n_bg.village,Охлювец,KRZ16-79,cityhall,base.bg,,False
l10n_bg.54482,54482,l10n_bg.village,Оходен,VRC10-16,cityhall,base.bg,,False
l10n_bg.54496,54496,l10n_bg.village,Охрид,MON04-10,cityhall,base.bg,,False
l10n_bg.54506,54506,l10n_bg.village,Очиндол,VRC27-21,cityhall,base.bg,,False
l10n_bg.55018,55018,l10n_bg.village,Павел,VTR26-11,cityhall,base.bg,,False
l10n_bg.55035,55035,l10n_bg.village,Павелско,SML38-07,cityhall,base.bg,,False
l10n_bg.55070,55070,l10n_bg.village,Паволче,VRC10-17,cityhall,base.bg,,False
l10n_bg.55107,55107,l10n_bg.village,Падеш,BLG03-17,cityhall,base.bg,,False
l10n_bg.55110,55110,l10n_bg.village,Падина,VAR14-02,cityhall,base.bg,,False
l10n_bg.55124,55124,l10n_bg.village,Падина,KRZ02-17,cityhall,base.bg,,False
l10n_bg.55138,55138,l10n_bg.village,Падина,SLS07-27,cityhall,base.bg,,False
l10n_bg.55169,55169,l10n_bg.village,Пазарци,KRZ21-31,cityhall,base.bg,,False
l10n_bg.55186,55186,l10n_bg.village,Паисиево,SLS10-14,cityhall,base.bg,,False
l10n_bg.55196,55196,l10n_bg.village,Паисий,VTR06-13,cityhall,base.bg,,False
l10n_bg.55201,55201,l10n_bg.village,Пайдушко,TGV35-26,cityhall,base.bg,,False
l10n_bg.55213,55213,l10n_bg.village,Паламарца,TGV24-26,cityhall,base.bg,,False
l10n_bg.59330,59330,l10n_bg.village,Палатик,BLG02-10,cityhall,base.bg,,False
l10n_bg.55230,55230,l10n_bg.village,Палатово,KNL48-11,cityhall,base.bg,,False
l10n_bg.55244,55244,l10n_bg.village,Палаузово,JAM22-16,cityhall,base.bg,,False
l10n_bg.55261,55261,l10n_bg.village,Палици,VTR13-14,cityhall,base.bg,,False
l10n_bg.55275,55275,l10n_bg.village,Памидово,PAZ14-04,cityhall,base.bg,,False
l10n_bg.55289,55289,l10n_bg.village,Памукчии,SZR31-32,cityhall,base.bg,,False
l10n_bg.55292,55292,l10n_bg.village,Памукчии,SHU22-08,cityhall,base.bg,,False
l10n_bg.59375,59375,l10n_bg.village,Панагюрски колонии,PAZ20-08,cityhall,base.bg,,False
l10n_bg.55316,55316,l10n_bg.village,Панайот Волово,SHU30-26,cityhall,base.bg,,False
l10n_bg.55327,55327,l10n_bg.village,Панайот Хитово,TGV22-27,cityhall,base.bg,,False
l10n_bg.55333,55333,l10n_bg.village,Панаретовци,SLV20-31,cityhall,base.bg,,False
l10n_bg.22767,22767,l10n_bg.village,Паничерево,SZR37-05,cityhall,base.bg,,False
l10n_bg.55378,55378,l10n_bg.village,Паничери,PDV37-08,cityhall,base.bg,,False
l10n_bg.55381,55381,l10n_bg.village,Паничино,TGV22-28,cityhall,base.bg,,False
l10n_bg.55395,55395,l10n_bg.village,Паничково,KRZ35-17,cityhall,base.bg,,False
l10n_bg.55422,55422,l10n_bg.village,Панчево,KRZ16-80,cityhall,base.bg,,False
l10n_bg.55436,55436,l10n_bg.village,Папрат,KRZ08-10,cityhall,base.bg,,False
l10n_bg.55470,55470,l10n_bg.village,Партизани,VAR16-10,cityhall,base.bg,,False
l10n_bg.55484,55484,l10n_bg.village,Партизанин,SZR04-15,cityhall,base.bg,,False
l10n_bg.55508,55508,l10n_bg.village,Паскалевец,VTR22-14,cityhall,base.bg,,False
l10n_bg.55511,55511,l10n_bg.village,Паскалево,DOB15-43,cityhall,base.bg,,False
l10n_bg.55539,55539,l10n_bg.village,Пастра,KNL38-02,cityhall,base.bg,,False
l10n_bg.55556,55556,l10n_bg.village,Паталеница,PAZ19-20,cityhall,base.bg,,False
l10n_bg.55568,55568,l10n_bg.village,Патица,KRZ35-18,cityhall,base.bg,,False
l10n_bg.55573,55573,l10n_bg.village,Патреш,VTR22-15,cityhall,base.bg,,False
l10n_bg.55590,55590,l10n_bg.village,Патриарх Евтимово,PDV01-17,cityhall,base.bg,,False
l10n_bg.55614,55614,l10n_bg.village,Пашинци,KRZ15-45,cityhall,base.bg,,False
l10n_bg.55631,55631,l10n_bg.village,Пашови,PAZ08-11,cityhall,base.bg,,False
l10n_bg.55662,55662,l10n_bg.village,Певец,TGV35-27,cityhall,base.bg,,False
l10n_bg.55676,55676,l10n_bg.village,Певците,PDV13-29,cityhall,base.bg,,False
l10n_bg.55720,55720,l10n_bg.village,Пейчиново,RSE04-13,cityhall,base.bg,,False
l10n_bg.55751,55751,l10n_bg.village,Пелин,KRZ15-57,cityhall,base.bg,,False
l10n_bg.55765,55765,l10n_bg.village,Пелишат,PVN24-17,cityhall,base.bg,,False
l10n_bg.55823,55823,l10n_bg.village,Пеньово,KRZ16-25,cityhall,base.bg,,False
l10n_bg.55840,55840,l10n_bg.village,Пепелище,KRZ16-81,cityhall,base.bg,,False
l10n_bg.55885,55885,l10n_bg.village,Перперек,KRZ16-26,cityhall,base.bg,,False
l10n_bg.55899,55899,l10n_bg.village,Перуника,KRZ15-31,cityhall,base.bg,,False
l10n_bg.55926,55926,l10n_bg.village,Песнопой,PDV12-10,cityhall,base.bg,,False
l10n_bg.56068,56068,l10n_bg.village,Пет могили,SLV16-20,cityhall,base.bg,,False
l10n_bg.56071,56071,l10n_bg.village,Пет могили,SHU21-06,cityhall,base.bg,,False
l10n_bg.55960,55960,l10n_bg.village,Петелово,KRZ35-19,cityhall,base.bg,,False
l10n_bg.65471,65471,l10n_bg.village,Петко Каравелово,VTR26-14,cityhall,base.bg,,False
l10n_bg.56037,56037,l10n_bg.village,Петко Славейков,GAB29-23,cityhall,base.bg,,False
l10n_bg.55991,55991,l10n_bg.village,Петково,SML31-22,cityhall,base.bg,,False
l10n_bg.56006,56006,l10n_bg.village,Петково,SFO17-13,cityhall,base.bg,,False
l10n_bg.56040,56040,l10n_bg.village,Петлешково,DOB12-23,cityhall,base.bg,,False
l10n_bg.56054,56054,l10n_bg.village,Петлино,KRZ16-82,cityhall,base.bg,,False
l10n_bg.56085,56085,l10n_bg.village,Петокладенци,PVN03-04,cityhall,base.bg,,False
l10n_bg.56099,56099,l10n_bg.village,Петревене,LOV19-07,cityhall,base.bg,,False
l10n_bg.56109,56109,l10n_bg.village,Петрелик,BLG52-11,cityhall,base.bg,,False
l10n_bg.56112,56112,l10n_bg.village,Петрино,TGV22-29,cityhall,base.bg,,False
l10n_bg.56137,56137,l10n_bg.village,Петрич,SFO47-02,cityhall,base.bg,,False
l10n_bg.56143,56143,l10n_bg.village,Петров дол,VAR24-15,cityhall,base.bg,,False
l10n_bg.56174,56174,l10n_bg.village,Петрово,BLG40-31,cityhall,base.bg,,False
l10n_bg.56188,56188,l10n_bg.village,Петрово,SZR31-33,cityhall,base.bg,,False
l10n_bg.56201,56201,l10n_bg.village,Петърница,PVN11-05,cityhall,base.bg,,False
l10n_bg.56215,56215,l10n_bg.village,Петърч,SFO26-09,cityhall,base.bg,,False
l10n_bg.56232,56232,l10n_bg.village,Печеница,RAZ14-15,cityhall,base.bg,,False
l10n_bg.56280,56280,l10n_bg.village,Пещера,PER19-14,cityhall,base.bg,,False
l10n_bg.56321,56321,l10n_bg.village,Пещерско,BGS01-08,cityhall,base.bg,,False
l10n_bg.56349,56349,l10n_bg.village,Пиперево,KNL48-12,cityhall,base.bg,,False
l10n_bg.56378,56378,l10n_bg.village,Пиперков чифлик,KNL29-31,cityhall,base.bg,,False
l10n_bg.56366,56366,l10n_bg.village,Пиперково,RSE37-08,cityhall,base.bg,,False
l10n_bg.56397,56397,l10n_bg.village,Пиргово,RSE13-06,cityhall,base.bg,,False
l10n_bg.56410,56410,l10n_bg.village,Пирин,BLG40-33,cityhall,base.bg,,False
l10n_bg.56438,56438,l10n_bg.village,Пирне,BGS01-09,cityhall,base.bg,,False
l10n_bg.56441,56441,l10n_bg.village,Писанец,RSE05-05,cityhall,base.bg,,False
l10n_bg.56472,56472,l10n_bg.village,Писарево,VTR06-07,cityhall,base.bg,,False
l10n_bg.56493,56493,l10n_bg.village,Писарово,PVN23-02,cityhall,base.bg,,False
l10n_bg.56509,56509,l10n_bg.village,Писарово,DOB12-24,cityhall,base.bg,,False
l10n_bg.56513,56513,l10n_bg.village,Писменово,BGS27-02,cityhall,base.bg,,False
l10n_bg.56527,56527,l10n_bg.village,Питово,SLV16-21,cityhall,base.bg,,False
l10n_bg.56561,56561,l10n_bg.village,Пищигово,PAZ19-21,cityhall,base.bg,,False
l10n_bg.56575,56575,l10n_bg.village,Пиявец,KRZ21-16,cityhall,base.bg,,False
